row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sản khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.986.539.559.357,9.374.523.818.478,354.807.776.462,99.375.858.430,188.336.061.455,14.003.583.074.182,3986539559357.0,9374523818478.0,354807776462.0,99375858430.0,188336061455.0,14003583074182.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,7.432.292.306,43.168.816.552,6.221.723.547,20.856.812.859,2.361.819.431,80.041.464.695,7432292306.0,43168816552.0,6221723547.0,20856812859.0,2361819431.0,80041464695.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,40.529.627.931,134.423.987.074,13.088.130.873,2.119.050.234,4.502.981.434,194.663.777.546,40529627931.0,134423987074.0,13088130873.0,2119050234.0,4502981434.0,194663777546.0
Chuyển từ tài sản cố địnhthuê tài chính,Nguyên giá > Chuyển từ tài sản cố địnhthuê tài chính,Chuyển từ tài sản cố địnhthuê tài chính,-,3.767.673.695,322.666.674,-,-,4.090.340.369,,3767673695.0,322666674.0,,,4090340369.0
Chuyển sang bắt động sản đầu tư,Nguyên giá > Chuyển sang bắt động sản đầu tư,Chuyển sang bắt động sản đầu tư,(9.182.806.061),-,-,-,-,(9.182.806.061),-9182806061.0,,,,,-9182806061.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(596.162.691),(175.495.998.788),(1.778.516.239),(1.489.759.772),(31.000.000),(179.391.437.490),-596162691.0,-175495998788.0,-1778516239.0,-1489759772.0,-31000000.0,-179391437490.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(3.406.316.277),3.406.316.277,-,-,-,,-3406316277.0,3406316277.0,,,
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(12.008.652.636),(879.326.044),-,-,-,(12.887.978.680),-12008652636.0,-879326044.0,,,,-12887978680.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(33.767.137.434),-,-,-,(33.767.137.434),,-33767137434.0,,,,-33767137434.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.012.713.858.206,9.342.335.517.256,376.068.097.594,120.861.961.751,195.169.862.320,14.047.149.297.127,4012713858206.0,9342335517256.0,376068097594.0,120861961751.0,195169862320.0,14047149297127.0
