row_label_raw,row_label_full,col_0,1/1/2022Theo báo cáotrước đãyVND,Điều chỉnhhồi tốVND,1/1/2022Đã điều chỉnh lạiVND,numeric__1/1/2022Theo báo cáotrước đãyVND,numeric__Điều chỉnhhồi tốVND,numeric__1/1/2022Đã điều chỉnh lạiVND
"Chi phí sản xuất, kinh doanhđở đang dài hạn","Chi phí sản xuất, kinh doanhđở đang dài hạn","Chi phí sản xuất, kinh doanhđở đang dài hạn",215.340.985.983,(150.003.739.040),65.337.246.943,215340985983.0,-150003739040.0,65337246943.0
Thuế và các khoản phải nộpNhà nước,Thuế và các khoản phải nộpNhà nước,Thuế và các khoản phải nộpNhà nước,91.218.004.496,37.305.220.933,128.523.225.429,91218004496.0,37305220933.0,128523225429.0
LNST chưa phân phối,LNST chưa phân phối,LNST chưa phân phối,1.420.086.729.206,(93.841.788.946),1.326.244.940.260,1420086729206.0,-93841788946.0,1326244940260.0
LNST chưa phân phối lũy kếđến cuối năm trước,LNST chưa phân phối lũy kếđến cuối năm trước,LNST chưa phân phối lũy kếđến cuối năm trước,616.939.651.755,(75.151.873.259),541.787.778.496,616939651755.0,-75151873259.0,541787778496.0
LNST chưa phân phối năm nay,LNST chưa phân phối năm nay,LNST chưa phân phối năm nay,803.147.077.451,(18.689.915.687),784.457.161.764,803147077451.0,-18689915687.0,784457161764.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,2.290.000.223.077,(93.467.171.027),2.196.533.052.050,2290000223077.0,-93467171027.0,2196533052050.0
