row_label_raw,row_label_full,Lợi nhuận thuần trong năm phân bổ cho các cổ đông công ty mẹ (VND),2022 > 587.345.236.872,2021Đã điều chỉnh lại > 784.457.161.764,numeric__2022 > 587.345.236.872,numeric__2021Đã điều chỉnh lại > 784.457.161.764
"Số phân bổ vào quỹ khen thưởng, phúc lợi (*) (VND)","Số phân bổ vào quỹ khen thưởng, phúc lợi (*) (VND)","Số phân bổ vào quỹ khen thưởng, phúc lợi (*) (VND)",(20.957.000.000),(18.810.000.000),-20957000000.0,-18810000000.0
Lợi nhuận thuần thuộc về các cổ đông phổ thông của Tập đoàn Dệt May Việt Nam (VND),Lợi nhuận thuần thuộc về các cổ đông phổ thông của Tập đoàn Dệt May Việt Nam (VND),Lợi nhuận thuần thuộc về các cổ đông phổ thông của Tập đoàn Dệt May Việt Nam (VND),566.388.236.872,765.647.161.764,566388236872.0,765647161764.0
Số lượng bình quân gia quyền của cổ phiếu phổ thông lưu hành trong năm (số cổ phiếu),Số lượng bình quân gia quyền của cổ phiếu phổ thông lưu hành trong năm (số cổ phiếu),Số lượng bình quân gia quyền của cổ phiếu phổ thông lưu hành trong năm (số cổ phiếu),500.000.000,500.000.000,500000000.0,500000000.0
Lãi cơ bản trên cổ phiếu (VND),Lãi cơ bản trên cổ phiếu (VND),Lãi cơ bản trên cổ phiếu (VND),1.133,1.531,1133.0,1531.0
