row_label_raw,row_label_full,col_0,31/12/2022,31/12/2022_1,numeric__31/12/2022,numeric__31/12/2022_1
,,,Giá gốc VND,Dự phòng VND,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,259.795.509.905,(8.806.917.437),259795509905.0,-8806917437.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,1.423.135.449.240,(124.718.587.709),1423135449240.0,-124718587709.0
Công cụ và dụng cụ,Công cụ và dụng cụ,Công cụ và dụng cụ,6.389.651.102,-,6389651102.0,
Chi phí sản xuất kinh doanh dở dang (*),Chi phí sản xuất kinh doanh dở dang (*),Chi phí sản xuất kinh doanh dở dang (*),1.078.084.196.822,(7.733.835.610),1078084196822.0,-7733835610.0
Thành phẩm,Thành phẩm,Thành phẩm,1.391.911.659.755,(191.127.112.267),1391911659755.0,-191127112267.0
Hàng hóa,Hàng hóa,Hàng hóa,55.407.055.910,(1.661.714.216),55407055910.0,-1661714216.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,257.186.574.036,-,257186574036.0,
,,,4.471.910.096.770,(334.048.167.239),4471910096770.0,-334048167239.0
,,,1/1/2022,1/1/2022,,
,,,Giá gốc VND,Dự phòng VND,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,627.018.780.417,-,627018780417.0,
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,1.057.767.493.857,(5.521.950.967),1057767493857.0,-5521950967.0
Công cụ và dụng cụ,Công cụ và dụng cụ,Công cụ và dụng cụ,5.870.548.906,-,5870548906.0,
Chi phí sản xuất kinh doanh dở dang (*),Chi phí sản xuất kinh doanh dở dang (*),Chi phí sản xuất kinh doanh dở dang (*),996.747.754.157,-,996747754157.0,
Thành phẩm,Thành phẩm,Thành phẩm,601.688.672.641,(70.913.570.816),601688672641.0,-70913570816.0
Hàng hóa,Hàng hóa,Hàng hóa,23.252.541.890,(3.637.390.288),23252541890.0,-3637390288.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,120.472.830.394,-,120472830394.0,
,,,3.432.818.622.262,(80.072.912.071),3432818622262.0,-80072912071.0
