row_label_raw,row_label_full,col_0,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,numeric__Nội địa VND,numeric__Xuất khẩu VND,numeric__Hợp nhất VND
Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,,,
Tài sản của bộ phận,Tại ngày 31/12/2022 > Tài sản của bộ phận,Tài sản của bộ phận,855.929.616.886,840.555.312.820,1.696.484.929.706,855929616886.0,840555312820.0,1696484929706.0
Tài sản không phân bổ,Tại ngày 31/12/2022 > Tài sản không phân bổ,Tài sản không phân bổ,,,18.337.254.528.593,,,18337254528593.0
Tổng tài sản,Tại ngày 31/12/2022 > Tổng tài sản,Tổng tài sản,,,20.033.739.458.299,,,20033739458299.0
Nợ phải trả của bộ phận,Tại ngày 31/12/2022 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,30.815.224.429,59.963.194.540,90.778.418.969,30815224429.0,59963194540.0,90778418969.0
Các khoản nợ không phân bổ,Tại ngày 31/12/2022 > Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,10.512.898.168.101,,,10512898168101.0
Tổng nợ phải trả,Tại ngày 31/12/2022 > Tổng nợ phải trả,Tổng nợ phải trả,,,10.603.676.587.070,,,10603676587070.0
,,,Nội địa VND Đã điều chỉnh lại,Xuất khẩu VND,Hợp nhất VND Đã điều chỉnh lại,,,
Tại ngày 1/1/2022,Tại ngày 1/1/2022,Tại ngày 1/1/2022,Tại ngày 1/1/2022,Tại ngày 1/1/2022,Tại ngày 1/1/2022,,,
Tài sản của bộ phận,Tại ngày 1/1/2022 > Tài sản của bộ phận,Tài sản của bộ phận,1.168.521.339.657,847.198.732.473,2.015.720.072.130,1168521339657.0,847198732473.0,2015720072130.0
Tài sản không phân bổ,Tại ngày 1/1/2022 > Tài sản không phân bổ,Tài sản không phân bổ,,,18.180.099.647.392,,,18180099647392.0
Tổng tài sản,Tại ngày 1/1/2022 > Tổng tài sản,Tổng tài sản,,,20.195.819.719.522,,,20195819719522.0
Nợ phải trả của bộ phận,Tại ngày 1/1/2022 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,42.372.689.729,61.594.429.751,103.967.119.480,42372689729.0,61594429751.0,103967119480.0
Các khoản nợ không phân bổ,Tại ngày 1/1/2022 > Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,11.046.160.647.607,,,11046160647607.0
Tổng nợ phải trả,Tại ngày 1/1/2022 > Tổng nợ phải trả,Tổng nợ phải trả,,,11.150.127.767.087,,,11150127767087.0
