row_label_raw,row_label_full,col_0,Dự phòng chi phí di dồi (*) VND,Dự phòng bồi thường tổn thất (**) VND,Khác (***) VND,Tổng cộng VND,numeric__Dự phòng chi phí di dồi (*) VND,numeric__Dự phòng bồi thường tổn thất (**) VND,numeric__Khác (***) VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,24.665.668.570,62.473.188.366,6.279.218.200,93.418.075.136,24665668570.0,62473188366.0,6279218200.0,93418075136.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,-,-,41.495.589.923,41.495.589.923,,,41495589923.0,41495589923.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,-,-,(6.319.374.600),(6.319.374.600),,,-6319374600.0,-6319374600.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,24.665.668.570,62.473.188.366,41.455.433.523,128.594.290.459,24665668570.0,62473188366.0,41455433523.0,128594290459.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Dự phòng phải trả ngắn hạn,Trong đó: > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,-,62.473.188.366,41.455.433.523,103.928.621.889,,62473188366.0,41455433523.0,103928621889.0
Dự phòng phải trả dài hạn,Trong đó: > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,24.665.668.570,-,-,24.665.668.570,24665668570.0,,,24665668570.0
