row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2022 VND,2021 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__2022 VND,numeric__2021 VND Đã điều chỉnh lại
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,33,18.297.216.295.831,16.032.921.423.913,1.0,33.0,18297216295831.0,16032921423913.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,33,24.668.857.276,30.056.364.168,2.0,33.0,24668857276.0,30056364168.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,33,18.272.547.438.555,16.002.865.059.745,10.0,33.0,18272547438555.0,16002865059745.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,34,16.290.591.922.868,13.855.500.587.787,11.0,34.0,16290591922868.0,13855500587787.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,1.981.955.515.687,2.147.364.471.958,20.0,,1981955515687.0,2147364471958.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,35,554.924.601.814,320.782.268.617,21.0,35.0,554924601814.0,320782268617.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,36,616.716.655.180,272.437.860.008,22.0,36.0,616716655180.0,272437860008.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,305.941.266.264,238.035.592.428,23.0,,305941266264.0,238035592428.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,24,6(b),716.701.154.598,576.365.832.491,24.0,,716701154598.0,576365832491.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,37,567.340.895.557,507.258.660.057,25.0,37.0,567340895557.0,507258660057.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,38,854.874.152.603,815.846.070.054,26.0,38.0,854874152603.0,815846070054.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 +26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 +26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 +26)},30,,1.214.649.568.759,1.448.969.982.947,30.0,,1214649568759.0,1448969982947.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,39,44.609.706.410,85.339.935.918,31.0,39.0,44609706410.0,85339935918.0
Chi phí khác,Chi phí khác,Chi phí khác,32,40,46.837.107.281,115.124.552.557,32.0,40.0,46837107281.0,115124552557.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,(2.227.400.871),(29.784.616.639),40.0,,-2227400871.0,-29784616639.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,1.212.422.167.888,1.419.185.366.308,50.0,,1212422167888.0,1419185366308.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,42,140.280.019.988,130.309.858.778,51.0,42.0,140280019988.0,130309858778.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,42,(10.925.240.756),2.267.426.968,52.0,42.0,-10925240756.0,2267426968.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (chuyển sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (chuyển sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (chuyển sang trang sau),60,,1.083.067.388.656,1.286.608.080.562,60.0,,1083067388656.0,1286608080562.0
