row_label_raw,row_label_full,col_0,Công nghiệpdệt mayVND,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhácVND,Loại trừVND,Hợp nhấtVND,numeric__Công nghiệpdệt mayVND,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhácVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,,,,,
Tải sản của bộ phận,Tại ngày 31 tháng 12 năm 2022 > Tải sản của bộ phận,Tải sản của bộ phận,21.288.615.221.613,119.577.173.348,1.352.589.943.176,(5.514.178.134.152),17.246.604.203.985,21288615221613.0,119577173348.0,1352589943176.0,-5514178134152.0,17246604203985.0
Khoản đầu tư vào công ty liên kết,Tại ngày 31 tháng 12 năm 2022 > Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,1.463.170.597.619,912.560.000,307.875.000,1.322.744.221.695,2.787.135.254.314,1463170597619.0,912560000.0,307875000.0,1322744221695.0,2787135254314.0
Tổng tài sản của bộ phận,Tại ngày 31 tháng 12 năm 2022 > Tổng tài sản của bộ phận,Tổng tài sản của bộ phận,22.751.785.819.232,120.489.733.348,1.352.897.818.176,-4.191.433.912.457,20.033.739.458.299,22751785819232.0,120489733348.0,1352897818176.0,-4191433912457.0,20033739458299.0
Tổng nợ phải trả của bộ phận,Tại ngày 31 tháng 12 năm 2022 > Tổng nợ phải trả của bộ phận,Tổng nợ phải trả của bộ phận,12.031.879.005.061,352.140.219.783,478.173.729.586,(2.258.516.367.360),10.603.676.587.070,12031879005061.0,352140219783.0,478173729586.0,-2258516367360.0,10603676587070.0
Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,,,,,
Chỉ tiêu vốn,Năm 2022 > Chỉ tiêu vốn,Chỉ tiêu vốn,521.782.114.393,-,14.093.392.486,(101.888.175.596),433.987.331.283,521782114393.0,,14093392486.0,-101888175596.0,433987331283.0
Khấu hao tài sản cố định hữu hình,Năm 2022 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,734.043.858.407,1.483.998.059,42.759.050.850,334.492.049,778.621.399.365,734043858407.0,1483998059.0,42759050850.0,334492049.0,778621399365.0
Khấu hao tài sản cố định hữu hìnhthuê tài chính,Năm 2022 > Khấu hao tài sản cố định hữu hìnhthuê tài chính,Khấu hao tài sản cố định hữu hìnhthuê tài chính,19.980.760.336,-,-,-,19.980.760.336,19980760336.0,,,,19980760336.0
Khấu hao tài sản cố định vô hình,Năm 2022 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,4.273.023.328,-,75.714.288,-,4.348.737.616,4273023328.0,,75714288.0,,4348737616.0
Khấu hao bắt động sản đầu tư,Năm 2022 > Khấu hao bắt động sản đầu tư,Khấu hao bắt động sản đầu tư,7.276.681.798,217.950.774,9.445.286.820,-,16.939.919.392,7276681798.0,217950774.0,9445286820.0,,16939919392.0
