row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2022 VND,2021 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__2022 VND,numeric__2021 VND Đã điều chỉnh lại
LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận trước thuế Điều chỉnh cho các khoản,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận trước thuế Điều chỉnh cho các khoản,Lợi nhuận trước thuế Điều chỉnh cho các khoản,01,,1.212.422.167.888,1.419.185.366.308,1.0,,1212422167888.0,1419185366308.0
Khấu hao và phân bổ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,,833.252.319.720,854.702.774.139,2.0,,833252319720.0,854702774139.0
Các khoản dự phòng,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,,282.957.316.258,76.716.954.906,3.0,,282957316258.0,76716954906.0
Lỗ/(lãi) chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ/(lãi) chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ/(lãi) chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,,23.663.655.576,(20.730.391.568),4.0,,23663655576.0,-20730391568.0
Lãi từ hoạt động đầu tư,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,,(979.571.929.268),(737.878.999.768),5.0,,-979571929268.0,-737878999768.0
Chi phí lãi vay,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay,Chi phí lãi vay,06,,305.941.266.264,238.035.592.428,6.0,,305941266264.0,238035592428.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,1.678.664.796.438,1.830.031.296.445,8.0,,1678664796438.0,1830031296445.0
Biến động các khoản phải thu,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu,Biến động các khoản phải thu,09,,552.551.558.444,(580.318.525.216),9.0,,552551558444.0,-580318525216.0
Biến động hàng tồn kho,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,(1.085.642.407.537),(897.491.279.675),10.0,,-1085642407537.0,-897491279675.0
Biến động các khoản phải trả và nợ phải trả khác,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,(1.042.421.771.944),1.005.383.981.646,11.0,,-1042421771944.0,1005383981646.0
Biến động chi phí trả trước,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,(7.368.000.901),78.104.930.758,12.0,,-7368000901.0,78104930758.0
,,,,,95.784.174.500,1.435.710.403.958,,,95784174500.0,1435710403958.0
Tiền lãi vay đã trả,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(302.822.764.711),(231.985.401.309),14.0,,-302822764711.0,-231985401309.0
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(145.314.648.614),(86.342.898.042),15.0,,-145314648614.0,-86342898042.0
Tiền chi khác cho hoạt động kinh doanh,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(79.203.453.348),(61.066.124.582),17.0,,-79203453348.0,-61066124582.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(431.556.692.173),1.056.315.980.025,20.0,,-431556692173.0,1056315980025.0
