row_label_raw,row_label_full,col_0,Thời gian quá hạn,31/12/2022 > Giá gốc VND,31/12/2022 > Dự phòng VND,31/12/2022 > Giá trị có thể thu hồi VND,Thời gian quá hạn_1,1/1/2022 > Giá gốc VND,1/1/2022 > Dự phòng VND,1/1/2022 > Giá trị có thể thu hồi VND,numeric__Thời gian quá hạn,numeric__31/12/2022 > Giá gốc VND,numeric__31/12/2022 > Dự phòng VND,numeric__31/12/2022 > Giá trị có thể thu hồi VND,numeric__Thời gian quá hạn_1,numeric__1/1/2022 > Giá gốc VND,numeric__1/1/2022 > Dự phòng VND,numeric__1/1/2022 > Giá trị có thể thu hồi VND
Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,,,,,,,,
Công ty TNHH,Công ty TNHH,Công ty TNHH,Công ty TNHH,Công ty TNHH,Công ty TNHH,Công ty TNHH,Công ty TNHH,Công ty TNHH,Công ty TNHH,Công ty TNHH,,,,,,,,
Đệt May Hoàng Anh,Công ty TNHH > Đệt May Hoàng Anh,Đệt May Hoàng Anh,Trên 3 năm,33.793.572.750,(33.793.572.750),-,Trên 3 năm,33.853.572.750,(33.853.572.750),-,,33793572750.0,-33793572750.0,,,33853572750.0,-33853572750.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,
Tập đoàn An Phát,Công ty Cổ phần > Tập đoàn An Phát,Tập đoàn An Phát,Trên 3 năm,40.296.792.764,(40.296.792.764),-,Trên 3 năm,40.303.792.764,(40.303.792.764),-,,40296792764.0,-40296792764.0,,,40303792764.0,-40303792764.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,
Đầu tư Thương mại và Xuất nhập khẩu,Đầu tư Thương mại và Xuất nhập khẩu,Đầu tư Thương mại và Xuất nhập khẩu,Đầu tư Thương mại và Xuất nhập khẩu,Đầu tư Thương mại và Xuất nhập khẩu,Đầu tư Thương mại và Xuất nhập khẩu,Đầu tư Thương mại và Xuất nhập khẩu,Đầu tư Thương mại và Xuất nhập khẩu,Đầu tư Thương mại và Xuất nhập khẩu,Đầu tư Thương mại và Xuất nhập khẩu,Đầu tư Thương mại và Xuất nhập khẩu,,,,,,,,
Hà Đông,Đầu tư Thương mại và Xuất nhập khẩu > Hà Đông,Hà Đông,Trên 3 năm,29.921.566.760,(29.921.566.760),-,Trên 3 năm,29.921.566.760,(29.921.566.760),-,,29921566760.0,-29921566760.0,,,29921566760.0,-29921566760.0,
Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,,,,,,,,
Phát triển Phong Phú,Công ty Cổ phần Đầu tư > Phát triển Phong Phú,Phát triển Phong Phú,-,-,-,-,Trên 3 năm,32.923.446.043,(23.622.823.055),9.300.622.988,,,,,,32923446043.0,-23622823055.0,9300622988.0
