row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2022VND,2021VND,,
Công ty Cổ phần May Hòa Thọ - Phú Ninh,Công ty Cổ phần May Hòa Thọ - Phú Ninh,Công ty Cổ phần May Hòa Thọ - Phú Ninh,Công ty Cổ phần May Hòa Thọ - Phú Ninh,Công ty Cổ phần May Hòa Thọ - Phú Ninh,,
Bán hàng hóa và cung cấp dịch vụ,Công ty Cổ phần May Hòa Thọ - Phú Ninh > Bán hàng hóa và cung cấp dịch vụ,Bán hàng hóa và cung cấp dịch vụ,2.131.200.198,1.327.967.776,2131200198.0,1327967776.0
Mua hàng hóa và dịch vụ,Công ty Cổ phần May Hòa Thọ - Phú Ninh > Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,89.428.986.872,56.109.803.069,89428986872.0,56109803069.0
Khoản cho vay trong năm,Công ty Cổ phần May Hòa Thọ - Phú Ninh > Khoản cho vay trong năm,Khoản cho vay trong năm,7.028.580.000,-,7028580000.0,
Thu nhập từ lãi cho vay,Công ty Cổ phần May Hòa Thọ - Phú Ninh > Thu nhập từ lãi cho vay,Thu nhập từ lãi cho vay,642.135.599,-,642135599.0,
Bán tài sản cố định,Công ty Cổ phần May Hòa Thọ - Phú Ninh > Bán tài sản cố định,Bán tài sản cố định,229.492.494,-,229492494.0,
Công ty Cổ phần May V Đệt May Nam Định,Công ty Cổ phần May V Đệt May Nam Định,Công ty Cổ phần May V Đệt May Nam Định,Công ty Cổ phần May V Đệt May Nam Định,Công ty Cổ phần May V Đệt May Nam Định,,
Khoản cho vay,Công ty Cổ phần May V Đệt May Nam Định > Khoản cho vay,Khoản cho vay,-,4.900.000.000,,4900000000.0
Nhận hoàn trả khoản vay,Công ty Cổ phần May V Đệt May Nam Định > Nhận hoàn trả khoản vay,Nhận hoàn trả khoản vay,3.000.000.000,8.400.000.000,3000000000.0,8400000000.0
Thu nhập lãi vay,Công ty Cổ phần May V Đệt May Nam Định > Thu nhập lãi vay,Thu nhập lãi vay,81.196.908,326.662.274,81196908.0,326662274.0
