row_label_raw,row_label_full,STT > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Tên đơn vị > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Tỷ lệ sở hữu của Tập đoàn > 31/12/2022 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Tỷ lệ sở hữu của Tập đoàn > 1/1/2022 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Giá trị đầu tư theo mênh giá VND > 31/12/2022 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Giá trị đầu tư theo mênh giá VND > 1/1/2022 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Tên đơn vị > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Tỷ lệ sở hữu của Tập đoàn > 31/12/2022 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Tỷ lệ sở hữu của Tập đoàn > 1/1/2022 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Giá trị đầu tư theo mênh giá VND > 31/12/2022 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Giá trị đầu tư theo mênh giá VND > 1/1/2022 > Công ty liên kết của Tập đoàn Đệt May Việt Nam
1,1,1,Tổng Công ty May Nhà Bè – Công ty Cổ phần (i),"26,37%","27,69%",50.400.000.000,50.400.000.000,,0.2637,0.27690000000000003,50400000000.0,50400000000.0
2,2,2,Tổng Công ty Đức Giang – Công ty Cổ phần,"35,21%","35,21%",31.692.220.000,31.692.220.000,,0.3521,0.3521,31692220000.0,31692220000.0
3,3,3,Tổng Công ty May Hưng Yên – Công ty Cổ phần,"35,01%","35,01%",47.434.460.000,47.434.460.000,,0.35009999999999997,0.35009999999999997,47434460000.0,47434460000.0
4,4,4,Công ty Cổ phần May Bình Minh,"25,00%","25,00%",13.230.000.000,13.230.000.000,,0.25,0.25,13230000000.0,13230000000.0
5,5,5,Công ty Cổ phần May Hữu Nghị,"29,24%","29,24%",34.766.360.000,34.766.360.000,,0.2924,0.2924,34766360000.0,34766360000.0
6,6,6,Công ty Cổ phần May Đồng Nai,"25,70%","25,70%",28.108.080.000,28.108.080.000,,0.257,0.257,28108080000.0,28108080000.0
7,7,7,Công ty Cổ phần Vinatex OJ,"35,00%","35,00%",10.143.000.000,10.143.000.000,,0.35,0.35,10143000000.0,10143000000.0
,,,Công ty Cổ phần May Chiến Thắng (ii),-,"21,99%",-,6.120.000.000,,,0.21989999999999998,,6120000000.0
8,8,8,Công ty Cổ phần Vinatex Đà Nẵng,"30,00%","30,00%",9.000.000.000,9.000.000.000,,0.3,0.3,9000000000.0,9000000000.0
9,9,9,Công ty Cổ phần May Đáp Cầu,"24,04%","24,04%",16.407.300.000,16.407.300.000,,0.2404,0.2404,16407300000.0,16407300000.0
10,10,10,Công ty Cổ phần May Nam Định,"30,00%","30,00%",3.600.000.000,3.600.000.000,,0.3,0.3,3600000000.0,3600000000.0
11,11,11,Công ty TNHH May mặc Xuất khẩu Tân Châu,"44,00%","44,00%",3.564.000.000,3.564.000.000,,0.44,0.44,3564000000.0,3564000000.0
12,12,12,Công ty Cổ phần Tư vấn Xây dựng và Dịch vụ Đầu tư,"23,46%","23,46%",610.000.000,610.000.000,,0.2346,0.2346,610000000.0,610000000.0
13,13,13,Tổng Công ty Cổ phần May Việt Tiến,"30,40%","30,40%",134.059.200.000,134.059.200.000,,0.304,0.304,134059200000.0,134059200000.0
14,14,14,Tổng Công ty Việt Thắng – Công ty Cổ phần,"46,93%","46,93%",98.550.000.000,98.550.000.000,,0.4693,0.4693,98550000000.0,98550000000.0
15,15,15,Tổng Công ty May 10 – Công ty Cổ phần,"33,82%","33,82%",102.273.980.000,102.273.980.000,,0.3382,0.3382,102273980000.0,102273980000.0
16,16,16,Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina (i),"30,00%","40,33%",85.443.720.435,85.443.720.435,,0.3,0.4033,85443720435.0,85443720435.0
17,17,17,Công ty Cổ phần Đệt May Liên Phương (i),"30,60%","30,66%",95.877.720.000,95.877.720.000,,0.306,0.3066,95877720000.0,95877720000.0
18,18,18,Công ty Cổ phần Đầu tư Phát triển Vinatex,"42,40%","44,52%",37.275.000.000,37.275.000.000,,0.424,0.44520000000000004,37275000000.0,37275000000.0
Công ty liên kết của Tổng Công Ty Cổ phần Đệt may Nam Định,Công ty liên kết của Tổng Công Ty Cổ phần Đệt may Nam Định,Công ty liên kết của Tổng Công Ty Cổ phần Đệt may Nam Định,Công ty liên kết của Tổng Công Ty Cổ phần Đệt may Nam Định,Công ty liên kết của Tổng Công Ty Cổ phần Đệt may Nam Định,Công ty liên kết của Tổng Công Ty Cổ phần Đệt may Nam Định,Công ty liên kết của Tổng Công Ty Cổ phần Đệt may Nam Định,Công ty liên kết của Tổng Công Ty Cổ phần Đệt may Nam Định,,,,,
19,Công ty liên kết của Tổng Công Ty Cổ phần Đệt may Nam Định > 19,19,Công ty Cổ phần May 1 Đệt Nam Định,"19,32%","19,32%",2.700.000.000,2.700.000.000,,0.1932,0.1932,2700000000.0,2700000000.0
20,Công ty liên kết của Tổng Công Ty Cổ phần Đệt may Nam Định > 20,20,Công ty CP Đô thị Đệt May Nam Định,"26,81%","26,81%",31.100.000.000,31.100.000.000,,0.2681,0.2681,31100000000.0,31100000000.0
21,Công ty liên kết của Tổng Công Ty Cổ phần Đệt may Nam Định > 21,21,Công ty Cổ phần May V Đệt May Nam Định,"19,32%","19,32%",1.980.000.000,1.980.000.000,,0.1932,0.1932,1980000000.0,1980000000.0
22,Công ty liên kết của Tổng Công Ty Cổ phần Đệt may Nam Định > 22,22,Công ty Cổ phần Đệt – Đệt May Nam Định,"24,67%","24,67%",13.791.000.000,13.791.000.000,,0.24670000000000003,0.24670000000000003,13791000000.0,13791000000.0
