row_label_raw,row_label_full,col_0,2021Theo báo cáotrước đãyVND,Điều chỉnhhồi tốVND,2021Đã điều chỉnh lạiVND,numeric__2021Theo báo cáotrước đãyVND,numeric__Điều chỉnhhồi tốVND,numeric__2021Đã điều chỉnh lạiVND
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,778.540.849.121,37.305.220.933,815.846.070.054,778540849121.0,37305220933.0,815846070054.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,1.323.913.301.495,(37.305.220.933),1.286.608.080.562,1323913301495.0,-37305220933.0,1286608080562.0
Lợi nhuận sau thuế TNDNphân bổ chocổ đông của công ty mẹ,Lợi nhuận sau thuế TNDNphân bổ chocổ đông của công ty mẹ,Lợi nhuận sau thuế TNDNphân bổ chocổ đông của công ty mẹ,803.147.077.451,(18.689.915.687),784.457.161.764,803147077451.0,-18689915687.0,784457161764.0
Lợi nhuận sau thuế TNDNphân bổ chocổ đông không kiểm soát,Lợi nhuận sau thuế TNDNphân bổ chocổ đông không kiểm soát,Lợi nhuận sau thuế TNDNphân bổ chocổ đông không kiểm soát,520.766.224.044,(18.615.305.246),502.150.918.798,520766224044.0,-18615305246.0,502150918798.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,1.569,(38),1.531,1569.0,-38.0,1531.0
Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,1.415,(34),1.381,1415.0,-34.0,1381.0
