row_label_raw,row_label_full,col_0,Công nghiệpdệt mayVNDĐã điều chỉnh lại,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhácVND,Loại trừVND,Hợp nhấtVNDĐã điều chỉnh lại,numeric__Công nghiệpdệt mayVNDĐã điều chỉnh lại,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhácVND,numeric__Loại trừVND,numeric__Hợp nhấtVNDĐã điều chỉnh lại
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,,,,,
Tải sản của bộ phận,Tại ngày 1 tháng 1 năm 2022 > Tải sản của bộ phận,Tải sản của bộ phận,21.544.945.567.075,125.418.651.884,1.480.246.129.340,(5.484.772.909.080),17.665.837.439.219,21544945567075.0,125418651884.0,1480246129340.0,-5484772909080.0,17665837439219.0
Khoản đầu tư vào công ty liên kết,Tại ngày 1 tháng 1 năm 2022 > Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,1.470.811.211.470,912.560.000,307.875.000,1.057.950.633.833,2.529.982.280.303,1470811211470.0,912560000.0,307875000.0,1057950633833.0,2529982280303.0
Tổng tài sản của bộ phận,Tại ngày 1 tháng 1 năm 2022 > Tổng tài sản của bộ phận,Tổng tài sản của bộ phận,23.015.756.778.545,126.331.211.884,1.480.554.004.340,(4.426.822.275.247),20.195.819.719.522,23015756778545.0,126331211884.0,1480554004340.0,-4426822275247.0,20195819719522.0
Tổng nợ phải trả của bộ phận,Tại ngày 1 tháng 1 năm 2022 > Tổng nợ phải trả của bộ phận,Tổng nợ phải trả của bộ phận,12.317.974.364.940,356.621.116.574,597.273.501.593,(2.121.741.216.020),11.150.127.767.087,12317974364940.0,356621116574.0,597273501593.0,-2121741216020.0,11150127767087.0
Năm 2021,Năm 2021,Năm 2021,Năm 2021,Năm 2021,Năm 2021,Năm 2021,Năm 2021,,,,,
Chỉ tiêu vốn,Năm 2021 > Chỉ tiêu vốn,Chỉ tiêu vốn,878.429.389.944,1.605.909.091,7.244.057.179,(57.656.755.162),829.622.601.052,878429389944.0,1605909091.0,7244057179.0,-57656755162.0,829622601052.0
Khấu hao tài sản cố định hữu hình,Năm 2021 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,753.911.191.800,1.768.323.796,44.856.164.276,(1.573.931.357),798.961.748.515,753911191800.0,1768323796.0,44856164276.0,-1573931357.0,798961748515.0
Khấu hao tài sản cố định hữu hìnhthuê tài chính,Năm 2021 > Khấu hao tài sản cố định hữu hìnhthuê tài chính,Khấu hao tài sản cố định hữu hìnhthuê tài chính,15.483.260.168,-,-,-,15.483.260.168,15483260168.0,,,,15483260168.0
Khấu hao tài sản cố định vô hình,Năm 2021 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,5.119.882.831,-,77.705.538,-,5.197.588.369,5119882831.0,,77705538.0,,5197588369.0
Khấu hao bắt động sản đầu tư,Năm 2021 > Khấu hao bắt động sản đầu tư,Khấu hao bắt động sản đầu tư,11.967.604.234,225.157.468,9.595.807.352,-,21.788.569.054,11967604234.0,225157468.0,9595807352.0,,21788569054.0
