row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2022VND,1/1/2022VND,,
Tổng Công ty Đức Giang – CTCP,Tổng Công ty Đức Giang – CTCP,Tổng Công ty Đức Giang – CTCP,95.163.545.046,106.060.336.229,95163545046.0,106060336229.0
Công ty TNHH Coats Phong Phú,Công ty TNHH Coats Phong Phú,Công ty TNHH Coats Phong Phú,59.155.254.606,77.558.007.653,59155254606.0,77558007653.0
Công ty Cổ phần Dệt May Nha Trang,Công ty Cổ phần Dệt May Nha Trang,Công ty Cổ phần Dệt May Nha Trang,42.455.986.883,58.598.399.622,42455986883.0,58598399622.0
Tổng Công ty Việt Thắng – CTCP,Tổng Công ty Việt Thắng – CTCP,Tổng Công ty Việt Thắng – CTCP,20.639.993.960,14.614.637.312,20639993960.0,14614637312.0
Công ty Cổ phần Hòa Thọ - Quảng Nam,Công ty Cổ phần Hòa Thọ - Quảng Nam,Công ty Cổ phần Hòa Thọ - Quảng Nam,18.462.790.590,8.334.074.082,18462790590.0,8334074082.0
Tổng Công ty May 10 – CTCP,Tổng Công ty May 10 – CTCP,Tổng Công ty May 10 – CTCP,2.804.724.500,4.149.923.627,2804724500.0,4149923627.0
Tổng Công ty May Nhà Bè – CTCP,Tổng Công ty May Nhà Bè – CTCP,Tổng Công ty May Nhà Bè – CTCP,606.966.052,24.978.520.064,606966052.0,24978520064.0
Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,6.095.996.265,2.010.573.482,6095996265.0,2010573482.0
,,,245.385.257.902,296.304.472.071,245385257902.0,296304472071.0
