row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chính lệch đánh giá lại tài sản (*) VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Ngườn vốn đầu tư xây dựng cơ bản VND,Lợi ích cổ đông không kiểm soát VND,Tổng vốn chủ sở hữu VND,Ngườn kinh phí và các quỹ khác VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chính lệch đánh giá lại tài sản (*) VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Ngườn vốn đầu tư xây dựng cơ bản VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng vốn chủ sở hữu VND,numeric__Ngườn kinh phí và các quỹ khác VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2021 – đã báo cáo trước đáy,Số dư tại ngày 1/1/2021 – đã báo cáo trước đáy,Số dư tại ngày 1/1/2021 – đã báo cáo trước đáy,5.000.000.000.000,30.361.932.352,42.307.195.973,(751.951.666.799),586.085.418.175,716.755.393.839(75.151.873.259),543.092.845.095,1.875.668.008.015(74.851.865.781),8.042.319.126.650(150.003.739.040),26.297.770.962,8.068.616.897.612(150.003.739.040),5000000000000.0,30361932352.0,42307195973.0,-751951666799.0,586085418175.0,,543092845095.0,,,26297770962.0,
Điều chính lại (Thuyết minh 46),Điều chính lại (Thuyết minh 46),Điều chính lại (Thuyết minh 46),-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
Số dư tại ngày 1/1/2021 – đã điều chỉnh lại,Điều chính lại (Thuyết minh 46) > Số dư tại ngày 1/1/2021 – đã điều chỉnh lại,Số dư tại ngày 1/1/2021 – đã điều chỉnh lại,5.000.000.000.000,30.361.932.352,42.307.195.973,(751.951.666.799),586.085.418.175,641.603.520.580(18.689.915.687),543.092.845.095,1.800.816.142.234(18.615.305.246),7.892.315.387.610(37.305.220.933),26.297.770.962,7.918.613.158.572(37.305.220.933),5000000000000.0,30361932352.0,42307195973.0,-751951666799.0,586085418175.0,,543092845095.0,,,26297770962.0,
Vốn góp/vốn cổ phần,Điều chính lại (Thuyết minh 46) > Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,-,-,1.176.340.000,-,-,(1.176.340.000),-,16.250.000.000,16.250.000.000,-,16.250.000.000,,,1176340000.0,,,-1176340000.0,,16250000000.0,16250000000.0,,16250000000.0
Lợi nhuận thuần trong năm – đã báo cáo trước đáy,Lợi nhuận thuần trong năm – đã báo cáo trước đáy,Lợi nhuận thuần trong năm – đã báo cáo trước đáy,-,-,-,-,-,803.147.077.451(18.689.915.687),-,520.766.224.044(18.615.305.246),1.323.913.301.495(37.305.220.933),-,1.323.913.301.495(37.305.220.933),,,,,,,,,,,
Điều chính lại (Thuyết minh 46),Điều chính lại (Thuyết minh 46),Điều chính lại (Thuyết minh 46),-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
Lợi nhuận thuần trong năm – đã điều chỉnh lại,Điều chính lại (Thuyết minh 46) > Lợi nhuận thuần trong năm – đã điều chỉnh lại,Lợi nhuận thuần trong năm – đã điều chỉnh lại,-,-,-,-,-,784.457.161.764(43.464.206.773),-,502.150.918.798,1.286.608.080.562,-,1.286.608.080.562,,,,,,,,502150918798.0,1286608080562.0,,1286608080562.0
Phân bổ vào các quỹ,Điều chính lại (Thuyết minh 46) > Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,43.464.206.773,-,-,-,-,-,-,,,,,43464206773.0,,,,,,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Điều chính lại (Thuyết minh 46) > Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(38.251.942.652),-,(16.707.597.759),(54.959.540.411),-,(54.959.540.411)(2.041.627.020),,,,,,-38251942652.0,,-16707597759.0,-54959540411.0,,
Sư dụng các quỹ,Sư dụng các quỹ,Sư dụng các quỹ,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
Cổ tức,Sư dụng các quỹ > Cổ tức,Cổ tức,-,-,-,-,-,(16.705.625.282),-,(103.649.338.325),(120.354.963.607),-,(120.354.963.607),,,,,,-16705625282.0,,-103649338325.0,-120354963607.0,,-120354963607.0
Thanh lý công ty liên kết,Sư dụng các quỹ > Thanh lý công ty liên kết,Thanh lý công ty liên kết,-,-,-,4.121.544.614,-,(4.121.544.614),-,-,-,-,-,,,,4121544614.0,,-4121544614.0,,,,,
Các biển đông khác về vốn chủ sở hữu,Sư dụng các quỹ > Các biển đông khác về vốn chủ sở hữu,Các biển đông khác về vốn chủ sở hữu,-,-,-,-,(2.000.000.000),5.903.917.237(2.000.000.000),-,(2.327.072.898),1.576.844.339,-,1.576.844.339,,,,,-2000000000.0,,,-2327072898.0,1576844339.0,,1576844339.0
Phân loại lai,Sư dụng các quỹ > Phân loại lai,Phân loại lai,-,-,2.000.000.000,-,-,-,-,-,-,-,-,,,2000000000.0,,,,,,,,
Số dư tại ngày 1/1/2022 – đã điều chỉnh lại,Sư dụng các quỹ > Số dư tại ngày 1/1/2022 – đã điều chỉnh lại,Số dư tại ngày 1/1/2022 – đã điều chỉnh lại,5.000.000.000.000,30.361.932.352,45.483.535.973,(747.830.122.185),627.549.624.948,1.326.244.940.260,543.092.845.095,2.196.533.052.050,9.021.435.808.493,24.256.143.942,9.045.691.952.435,5000000000000.0,30361932352.0,45483535973.0,-747830122185.0,627549624948.0,1326244940260.0,543092845095.0,2196533052050.0,9021435808493.0,24256143942.0,9045691952435.0
Vốn góp/vốn cổ phần,Sư dụng các quỹ > Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,-,-,96.197.722.511,-,-,(162.677.520.000),-,66.479.797.489,-,-,-,,,96197722511.0,,,-162677520000.0,,66479797489.0,,,
Lợi nhuận thuần trong năm,Sư dụng các quỹ > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,587.345.236.872,-,495.722.151.784,1.083.067.388.656,-,1.083.067.388.656,,,,,,587345236872.0,,495722151784.0,1083067388656.0,,1083067388656.0
Phân bổ quỹ đầu tư phát triển,Sư dụng các quỹ > Phân bổ quỹ đầu tư phát triển,Phân bổ quỹ đầu tư phát triển,-,-,-,-,102.012.206.744,(102.012.206.744),-,-,-,-,-,,,,,102012206744.0,-102012206744.0,,,,,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Sư dụng các quỹ > Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(63.065.261.381),-,(33.016.107.718),(96.081.369.099),-,(96.081.369.099)(2.041.627.020),,,,,,-63065261381.0,,-33016107718.0,-96081369099.0,,
Sư dụng các quỹ,Sư dụng các quỹ > Sư dụng các quỹ,Sư dụng các quỹ,-,-,-,-,-,-,-,-,-,(2.041.627.020),-,,,,,,,,,,-2041627020.0,
Cổ tức,Sư dụng các quỹ > Cổ tức,Cổ tức,-,-,-,-,-,(350.000.000.000),-,(235.232.769.786),(585.232.769.786),-,(585.232.769.786),,,,,,-350000000000.0,,-235232769786.0,-585232769786.0,,-585232769786.0
Các biển đông khác về vốn chủ sở hữu,Sư dụng các quỹ > Các biển đông khác về vốn chủ sở hữu,Các biển đông khác về vốn chủ sở hữu,-,-,-,-,-,(15.185.010.440),-,(155.693.517),(15.340.703.957),-,(15.340.703.957),,,,,,-15185010440.0,,-155693517.0,-15340703957.0,,-15340703957.0
Số dư tại ngày 31/12/2022,Sư dụng các quỹ > Số dư tại ngày 31/12/2022,Số dư tại ngày 31/12/2022,5.000.000.000.000,30.361.932.352,141.681.258.484,(747.830.122.185),729.561.831.692,1.220.650.178.567,543.092.845.095,2.490.330.430.302,9.407.848.354.307,22.214.516.922,9.430.062.871.229,5000000000000.0,30361932352.0,141681258484.0,-747830122185.0,729561831692.0,1220650178567.0,543092845095.0,2490330430302.0,9407848354307.0,22214516922.0,9430062871229.0
