row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sản khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.499.801.130.072,5.551.120.062.277,225.844.405.811,67.008.739.993,152.053.732.327,7.495.828.070.480,1499801130072.0,5551120062277.0,225844405811.0,67008739993.0,152053732327.0,7495828070480.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,177.800.302.725,540.094.139.609,26.191.378.667,19.135.779.259,15.399.799.105,778.621.399.365,177800302725.0,540094139609.0,26191378667.0,19135779259.0,15399799105.0,778621399365.0
Chuyển từ tài sản cố định hữu hìnhthuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hìnhthuê tài chính,Chuyển từ tài sản cố định hữu hìnhthuê tài chính,-,2.183.650.694,322.666.674,-,-,2.506.317.368,,2183650694.0,322666674.0,,,2506317368.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(2.001.531.139),-,-,-,-,(2.001.531.139),-2001531139.0,,,,,-2001531139.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(368.497.434),(166.943.012.545),(1.759.216.091),(1.489.759.772),(31.000.000),(170.591.485.842),-368497434.0,-166943012545.0,-1759216091.0,-1489759772.0,-31000000.0,-170591485842.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(908.635.388),908.635.388,-,-,-,,-908635388.0,908635388.0,,,
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(3.516.064.733),(119.997.183),-,-,-,(3.636.061.916),-3516064733.0,-119997183.0,,,,-3636061916.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(33.767.137.434),-,-,-,(33.767.137.434),,-33767137434.0,,,,-33767137434.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.671.715.339.491,5.891.659.070.030,251.507.870.449,84.654.759.480,167.422.531.432,8.066.959.570.882,1671715339491.0,5891659070030.0,251507870449.0,84654759480.0,167422531432.0,8066959570882.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.486.738.429.285,3.823.403.756.201,128.963.370.651,32.367.118.437,36.282.329.128,6.507.755.003.702,2486738429285.0,3823403756201.0,128963370651.0,32367118437.0,36282329128.0,6507755003702.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.340.998.518.715,3.450.676.447.226,124.560.227.145,36.207.202.271,27.747.330.888,5.980.189.726.245,2340998518715.0,3450676447226.0,124560227145.0,36207202271.0,27747330888.0,5980189726245.0
