row_label_raw,row_label_full,Năm 2022,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,numeric__Nội địa VND,numeric__Xuất khẩu VND,numeric__Hợp nhất VND
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,5.740.596.424.556,12.531.951.013.999,18.272.547.438.555,5740596424556.0,12531951013999.0,18272547438555.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,432.465.608.271,1.549.489.907.416,1.981.955.515.687,432465608271.0,1549489907416.0,1981955515687.0
Thu nhập không phân bổ,Thu nhập không phân bổ,Thu nhập không phân bổ,,,1.271.625.756.412,,,1271625756412.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,(2.038.931.703.340),,,-2038931703340.0
Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,1.214.649.568.759,,,1214649568759.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,44.609.706.410,,,44609706410.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(46.837.107.281),,,-46837107281.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,(129.354.779.232),,,-129354779232.0
Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,1.083.067.388.656,,,1083067388656.0
Năm 2021,Năm 2021,Năm 2021,Nội địa VND,Xuất khẩu VND,Hợp nhất VND Đã điều chỉnh lại,,,
Tổng doanh thu của bộ phận,Năm 2021 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,5.555.033.725.002,10.447.831.334.743,16.002.865.059.745,5555033725002.0,10447831334743.0,16002865059745.0
Kết quả kinh doanh của bộ phận,Năm 2021 > Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,1.016.091.245.046,1.131.273.226.912,2.147.364.471.958,1016091245046.0,1131273226912.0,2147364471958.0
Thu nhập không phân bổ,Năm 2021 > Thu nhập không phân bổ,Thu nhập không phân bổ,,,897.148.101.108,,,897148101108.0
Chi phí không phân bổ,Năm 2021 > Chi phí không phân bổ,Chi phí không phân bổ,,,(1.595.542.590.119),,,-1595542590119.0
Kết quả từ hoạt động kinh doanh,Năm 2021 > Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,1.448.969.982.947,,,1448969982947.0
Thu nhập khác,Năm 2021 > Thu nhập khác,Thu nhập khác,,,85.339.935.918,,,85339935918.0
Chi phí khác,Năm 2021 > Chi phí khác,Chi phí khác,,,(115.124.552.557),,,-115124552557.0
Thuế thu nhập doanh nghiệp,Năm 2021 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,(132.577.285.746),,,-132577285746.0
Lợi nhuận thuần sau thuế TNDN,Năm 2021 > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,1.286.608.080.562,,,1286608080562.0
