row_label_raw,row_label_full,col_0,Dự phòngchi phí bảo dưỡngVND,Dự phòng hoàn trảtài sản thuêVND,TổngVND,numeric__Dự phòngchi phí bảo dưỡngVND,numeric__Dự phòng hoàn trảtài sản thuêVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,3.743.787.222.790,230.268.118.728,3.974.055.341.518,3743787222790.0,230268118728.0,3974055341518.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,1.178.269.279.439,61.816.749.558,1.240.086.028.997,1178269279439.0,61816749558.0,1240086028997.0
Giá trị thời gian của dòng tiềnđã được chiết khấu,Giá trị thời gian của dòng tiềnđã được chiết khấu,Giá trị thời gian của dòng tiềnđã được chiết khấu,433.096.479.471,9.186.674.391,442.283.153.862,433096479471.0,9186674391.0,442283153862.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,(108.035.639.289),(9.281.227.500),(117.316.866.789),-108035639289.0,-9281227500.0,-117316866789.0
Dự phòng xóa số trong năm,Dự phòng xóa số trong năm,Dự phòng xóa số trong năm,(358.627.742.834),-,(358.627.742.834),-358627742834.0,,-358627742834.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,27.063.624.867,-,27.063.624.867,27063624867.0,,27063624867.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.915.553.224.444,291.990.315.177,5.207.543.539.621,4915553224444.0,291990315177.0,5207543539621.0
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.225.810.611.444,17.878.357.693,1.243.688.969.137,1225810611444.0,17878357693.0,1243688969137.0
Dài hạn,Dài hạn,Dài hạn,3.689.742.613.000,274.111.957.484,3.963.854.570.484,3689742613000.0,274111957484.0,3963854570484.0
,,,4.915.553.224.444,291.990.315.177,5.207.543.539.621,4915553224444.0,291990315177.0,5207543539621.0
