row_label_raw,row_label_full,col_0,1/1/2016Giá trị ghi sổ/Số có khả năng trả nợVND,Biến động trong năm > TăngVND,Biến động trong năm > Thanh toánVND,Biến động trong năm > Đánh giá lạiVND,31/12/2016Giá trị ghi sổ/Số có khả năng trả nợVND,numeric__1/1/2016Giá trị ghi sổ/Số có khả năng trả nợVND,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > Thanh toánVND,numeric__Biến động trong năm > Đánh giá lạiVND,numeric__31/12/2016Giá trị ghi sổ/Số có khả năng trả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.543.467.794.788,20.472.167.981.143,(18.002.824.709.967),23.621.519.321,6.036.432.585.285,3543467794788.0,20472167981143.0,-18002824709967.0,23621519321.0,6036432585285.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,-,98.265.600.000,(32.311.340.000),-,65.954.260.000,,98265600000.0,-32311340000.0,,65954260000.0
,,,3.543.467.794.788,20.570.433.581.143,(18.035.136.049.967),23.621.519.321,6.102.386.845.285,3543467794788.0,20570433581143.0,-18035136049967.0,23621519321.0,6102386845285.0
