row_label_raw,row_label_full,Công ty,Các hoạt động chính,Giấy phépKinh doanh,Lợi ích sở hữu,Lợi ích sở hữu_1,numeric__Các hoạt động chính,numeric__Giấy phépKinh doanh,numeric__Lợi ích sở hữu,numeric__Lợi ích sở hữu_1
Công ty,Công ty,Công ty,Các hoạt động chính,Giấy phépKinh doanh,31/12/2016,1/1/2016,,,,
Các công ty conCông ty Cổ phầnVietjetAir Cargo,Công ty > Các công ty conCông ty Cổ phầnVietjetAir Cargo,Các công ty conCông ty Cổ phầnVietjetAir Cargo,Cung cấp các dịch vụ hỗ trợ liên quan đến vận chuyển hàng hóa.,Số 0312759089ngày 27 tháng 8năm 2014,90%,90%,,,0.9,0.9
Vietjet Air IVBNo. I Limited (*),Công ty > Vietjet Air IVBNo. I Limited (*),Vietjet Air IVBNo. I Limited (*),Kinh doanh máy bay.,Số 1825671 ngày 27tháng 5 năm 2014,100%,100%,,,1.0,1.0
Vietjet Air IVBNo. II Limited (*),Công ty > Vietjet Air IVBNo. II Limited (*),Vietjet Air IVBNo. II Limited (*),Kinh doanh máy bay.,Số 1825613 ngày 27tháng 5 năm 2014,100%,100%,,,1.0,1.0
