row_label_raw,row_label_full,Nguyễn Thanh Hà,Chủ tịch,numeric__Chủ tịch
Nguyễn Thị Phương Thảo,Nguyễn Thị Phương Thảo,Nguyễn Thị Phương Thảo,Phó Chủ tịch,
Nguyễn Thanh Hùng,Nguyễn Thanh Hùng,Nguyễn Thanh Hùng,Phó Chủ tịch,
Chu Việt Cường,Chu Việt Cường,Chu Việt Cường,Thành viên,
Lưu Đức Khánh,Lưu Đức Khánh,Lưu Đức Khánh,Thành viên,
Lương Thế Phúc,Lương Thế Phúc,Lương Thế Phúc,Thành viên,
