row_label_raw,row_label_full,Nguyễn Thị Phương Thảo,Tổng Giám đốc,numeric__Tổng Giám đốc
Lưu Đức Khánh,Lưu Đức Khánh,Lưu Đức Khánh,Giám đốc Điều hành,
Nguyễn Đức Tâm,Nguyễn Đức Tâm,Nguyễn Đức Tâm,Phó Tổng Giám đốc,
Lương Thế Phúc,Lương Thế Phúc,Lương Thế Phúc,Phó Tổng Giám đốc,
Đinh Việt Phương,Đinh Việt Phương,Đinh Việt Phương,Phó Tổng Giám đốc,
Nguyễn Thị Thúy Bình,Nguyễn Thị Thúy Bình,Nguyễn Thị Thúy Bình,Phó Tổng Giám đốc,
Tô Việt Thắng,Tô Việt Thắng,Tô Việt Thắng,Phó Tổng Giám đốc,
Nguyễn Đức Thịnh,Nguyễn Đức Thịnh,Nguyễn Đức Thịnh,Phó Tổng Giám đốc,
Trần Hoài Nam,Trần Hoài Nam,Trần Hoài Nam,Phó Tổng Giám đốc,
Nguyễn Thị Kim Chính,Nguyễn Thị Kim Chính,Nguyễn Thị Kim Chính,Phó Tổng Giám đốc,
,,,(đến ngày 23 tháng 12 năm 2016),
Đỗ Xuân Quang,Đỗ Xuân Quang,Đỗ Xuân Quang,Phó Tổng Giám đốc,
,,,(đến ngày 18 tháng 11 năm 2016),
Noraesyah Yvonne Binti Abdullah,Noraesyah Yvonne Binti Abdullah,Noraesyah Yvonne Binti Abdullah,Giám đốc Tài chính,
,,,(từ ngày 1 tháng 12 năm 2016),
