row_label_raw,row_label_full,Công ty,Các hoạt động chính,Giấy phépKinh doanh,Lợi ích sở hữu,Lợi ích sở hữu_1,numeric__Các hoạt động chính,numeric__Giấy phépKinh doanh,numeric__Lợi ích sở hữu,numeric__Lợi ích sở hữu_1
Công ty,Công ty,Công ty,Các hoạt động chính,Giấy phépKinh doanh,31/12/2016,1/1/2016,,,,
Vietjet Air Singapore Pte. Ltd. (*),Công ty > Vietjet Air Singapore Pte. Ltd. (*),Vietjet Air Singapore Pte. Ltd. (*),Kinh doanh máy bay.,Số 201408849Nngày 27 tháng 3năm 2014,100%,100%,,,1.0,1.0
Vietjet Air Ireland No. 1 Limited (*),Công ty > Vietjet Air Ireland No. 1 Limited (*),Vietjet Air Ireland No. 1 Limited (*),Kinh doanh máy bay.,Số 544879 ngày 3tháng 6 năm 2014,100%,100%,,,1.0,1.0
Công ty liên kết Thai Vietjet Air Joint Stock Company Limited (*) (***),Công ty > Công ty liên kết Thai Vietjet Air Joint Stock Company Limited (*) (***),Công ty liên kết Thai Vietjet Air Joint Stock Company Limited (*) (***),"Cung cấp dịch vụ vận chuyển và chuyển giao hàng hóa và hành khách, tổ chức các chuyển đi du lịch và các dịch vụ liên quan khác.",Số 0105556100551ngày 25 tháng 6 năm 2013,9%,9%,,,0.09,0.09
Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (**),Công ty > Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (**),Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (**),Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải hàng không,Số 4201676638ngày 5 tháng 2 năm 2016,10%,-,,,0.1,
