row_label_raw,row_label_full,Ông Đặng Khắc Vỹ,Chủ tịch,numeric__Chủ tịch
Ông Đặng Văn Sơn,Ông Đặng Văn Sơn,Ông Đặng Văn Sơn,Phó Chủ tịch,
Ông Hàn Ngọc Vũ,Ông Hàn Ngọc Vũ,Ông Hàn Ngọc Vũ,Thành viên kiểm Tổng Giám đốc,
Ông Đỗ Xuân Hoàng,Ông Đỗ Xuân Hoàng,Ông Đỗ Xuân Hoàng,Thành viên,
Bà Nguyễn Thị Bích Hạnh,Bà Nguyễn Thị Bích Hạnh,Bà Nguyễn Thị Bích Hạnh,Thành viên độc lập(bắt đầu nhiệm kỳ IX ngày 15 tháng 3 năm 2023),
Ông Nguyễn Việt Cường,Ông Nguyễn Việt Cường,Ông Nguyễn Việt Cường,Thành viên độc lập(kết thúc nhiệm kỳ VIII ngày 15 tháng 3 năm 2023),
