row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,Tổng cộngTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,243.719,67.679,23.641,335.039,243719.0,67679.0,23641.0,335039.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,2.689.863,1.340,-,2.691.203,2689863.0,1340.0,,2691203.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,375.996,98.611,95.691,570.298,375996.0,98611.0,95691.0,570298.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,24.943.555,351.365,188.527,25.483.447,24943555.0,351365.0,188527.0,25483447.0
Cho vay khách hàng và hoạt động mua nợ - gộp,Tài sản > Cho vay khách hàng và hoạt động mua nợ - gộp,Cho vay khách hàng và hoạt động mua nợ - gộp,2.007.581,-,-,2.007.581,2007581.0,,,2007581.0
"Gộp vốn, đầu tư dài hạn","Tài sản > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",542,-,-,542,542.0,,,542.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,1.021.163,160,190,1.021.513,1021163.0,160.0,190.0,1021513.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,31.282.419,519.155,308.049,32.109.623,31282419.0,519155.0,308049.0,32109623.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,26.987.897,-,-,26.987.897,26987897.0,,,26987897.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,7.307.121,517.038,296.680,8.120.839,7307121.0,517038.0,296680.0,8120839.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,167.940,146,1.779,169.865,167940.0,146.0,1779.0,169865.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,34.462.958,517.184,298.459,35.278.601,34462958.0,517184.0,298459.0,35278601.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,(3.180.539),1.971,9.590,(3.168.978),-3180539.0,1971.0,9590.0,-3168978.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,3.103.374,2.727,(4.439),3.101.662,3103374.0,2727.0,-4439.0,3101662.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",(77.165),4.698,5.151,(67.316),-77165.0,4698.0,5151.0,-67316.0
