row_label_raw,row_label_full,Giá trị hợp lý thông qua BCKQHĐ Triệu VND,Giữ đến ngày đáo hạn Triệu VND,Cho vay và phải thu Triệu VND,Sẵn sàng để bán Triệu VND,Hạch toán theo giá trị phân bổ Triệu VND,Tổng cộng giá trị ghi số Triệu VND,Giá trị hợp lý Triệu VND,numeric__Giữ đến ngày đáo hạn Triệu VND,numeric__Cho vay và phải thu Triệu VND,numeric__Sẵn sàng để bán Triệu VND,numeric__Hạch toán theo giá trị phân bổ Triệu VND,numeric__Tổng cộng giá trị ghi số Triệu VND,numeric__Giá trị hợp lý Triệu VND
-,-,-,-,1.681.052,-,-,1.681.052,1.681.052,,1681052.0,,,1681052.0,1681052.0
-,-,-,-,8.217.767,-,-,8.217.767,8.217.767,,8217767.0,,,8217767.0,8217767.0
-,-,-,-,68.197.574,-,-,68.197.574,(*),,68197574.0,,,68197574.0,
156.721,156.721,156.721,-,-,-,-,156.721,(*),,,,,156721.0,
-,-,-,-,262.075.015,-,-,262.075.015,(*),,262075015.0,,,262075015.0,
-,-,-,-,16.370,-,-,16.370,(*),,16370.0,,,16370.0,
-,-,-,33.586,-,60.954.778,-,60.988.364,(*),33586.0,,60954778.0,,60988364.0,
-,-,-,-,-,919.457,-,919.457,(*),,,919457.0,,919457.0,
-,-,-,-,5.885.686,-,-,5.885.686,(*),,5885686.0,,,5885686.0,
156.721,156.721,156.721,33.586,346.073.464,61.874.235,-,408.138.006,,33586.0,346073464.0,61874235.0,,408138006.0,
-,-,-,-,-,-,98.639.721,98.639.721,(*),,,,98639721.0,98639721.0,
-,-,-,-,-,-,237.003.479,237.003.479,(*),,,,237003479.0,237003479.0,
-,-,-,-,-,-,6.930,6.930,(*),,,,6930.0,6930.0,
-,-,-,-,-,-,23.896.936,23.896.936,(*),,,,23896936.0,23896936.0,
-,-,-,-,-,-,10.518.922,10.518.922,(*),,,,10518922.0,10518922.0,
-,-,-,-,-,-,370.065.988,370.065.988,,,,,370065988.0,370065988.0,
