row_label_raw,row_label_full,col_0,Tổng giá trị của hợp đồng(theo tỷ giá tại ngày hiệu lực hợp đồng),Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo),numeric__Tổng giá trị của hợp đồng(theo tỷ giá tại ngày hiệu lực hợp đồng),numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo)
,,,Triệu VND,Tài sản/(Nợ phải trả)Triệu VND,,
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2023 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,3.453.760,(726),3453760.0,-726.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2023 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,111.964.230,141.488,111964230.0,141488.0
Giao dịch hoán đổi lãi suất,Tại ngày 31 tháng 12 năm 2023 > Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,3.354.490,15.959,3354490.0,15959.0
,,,118.772.480,156.721,118772480.0,156721.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,,
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2022 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,3.200.843,48.553,3200843.0,48553.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2022 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,70.940.344,(28.595),70940344.0,-28595.0
Giao dịch hoán đổi lãi suất,Tại ngày 31 tháng 12 năm 2022 > Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,708.500,1.000,708500.0,1000.0
,,,74.849.687,20.958,74849687.0,20958.0
