row_label_raw,row_label_full,col_0,31/12/2023Triệu VND,%,31/12/2022Triệu VND,%_1,numeric__31/12/2023Triệu VND,numeric__%,numeric__31/12/2022Triệu VND,numeric__%_1
"Nông nghiệp, lâm nghiệp và thuỷ sản","Nông nghiệp, lâm nghiệp và thuỷ sản","Nông nghiệp, lâm nghiệp và thuỷ sản",552.157,"0,21",234.343,"0,10",552157.0,0.21,234343.0,0.1
Khai khoáng,Khai khoáng,Khai khoáng,1.191.649,"0,45",397.414,"0,17",1191649.0,0.45,397414.0,0.17
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",13.400.504,"5,03",7.151.325,"3,08",13400504.0,5.03,7151325.0,3.08
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",2.639.418,"0,99",1.471.782,"0,63",2639418.0,0.99,1471782.0,0.63
"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",80.133,"0,03",64.830,"0,03",80133.0,0.03,64830.0,0.03
Xây dựng,Xây dựng,Xây dựng,1.958.665,"0,74",1.535.921,"0,66",1958665.0,0.74,1535921.0,0.66
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",9.155.453,"3,44",7.677.151,"3,31",9155453.0,3.44,7677151.0,3.31
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,1.932.668,"0,73",1.659.163,"0,72",1932668.0,0.73,1659163.0,0.72
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,1.198.526,"0,45",1.230.298,"0,53",1198526.0,0.45,1230298.0,0.53
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,243.331,"0,09",114.687,"0,05",243331.0,0.09,114687.0,0.05
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",9.732.793,"3,65",3.481.102,"1,50",9732793.0,3.65,3481102.0,1.5
Hoạt động kinh doanh bắt động sản,Hoạt động kinh doanh bắt động sản,Hoạt động kinh doanh bắt động sản,1.673.708,"0,63",1.995.786,"0,86",1673708.0,0.63,1995786.0,0.86
"Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ",547.459,"0,21",517.598,"0,22",547459.0,0.21,517598.0,0.22
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,160.467,"0,06",155.326,"0,07",160467.0,0.06,155326.0,0.07
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,362.069,"0,14",399.819,"0,17",362069.0,0.14,399819.0,0.17
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,39.999,"0,02",36.038,"0,02",39999.0,0.02,36038.0,0.02
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",25.504,"0,01",36.954,"0,02",25504.0,0.01,36954.0,0.02
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,277.370,"0,10",428.015,"0,18",277370.0,0.1,428015.0,0.18
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",221.173.672,"83,02",203.356.464,"87,68",221173672.0,83.02,203356464.0,87.68
,,,266.345.545,"100,00",231.944.016,"100,00",266345545.0,100.0,231944016.0,100.0
