row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu Quỹ,Quỹ đầu tư phát triển (*),Quỹ dư phòng tài chính,Quỹ dữ trữ bổ sung vốn điều lệ,Đơn vị: triệu đồng,Đơn vị: triệu đồng_1,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu Quỹ,numeric__Quỹ đầu tư phát triển (*),numeric__Quỹ dư phòng tài chính,numeric__Quỹ dữ trữ bổ sung vốn điều lệ,numeric__Đơn vị: triệu đồng,numeric__Đơn vị: triệu đồng_1
,,,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu Quỹ,Quỹ đầu tư phát triển (*),Quỹ dư phòng tài chính,Quỹ dữ trữ bổ sung vốn điều lệ,Lợi nhuận chưa phân phối,Tổng cộng,,,,,,,,
Số dư tại 1/1/2017,Số dư tại 1/1/2017,Số dư tại 1/1/2017,5.644.425,1.158.533,(19),99,389.073,856.532,648.071,8.696.714,5644425.0,1158533.0,-19.0,99.0,389073.0,856532.0,648071.0,8696714.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,1.124.208,1.124.208,,,,,,,1124208.0,1124208.0
Mua lại cổ phiếu quỹ trong năm,Mua lại cổ phiếu quỹ trong năm,Mua lại cổ phiếu quỹ trong năm,-,-,(763.140),-,-,-,-,(763.140),,,-763140.0,,,,,-763140.0
Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,-,-,-,700.000,53.085,27.938,(781.023),-,,,,700000.0,53085.0,27938.0,-781023.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(19.111),(19.111),,,,,,,-19111.0,-19111.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,-,-,(10.164),-,-,(10.164),,,,,-10164.0,,,-10164.0
Cổ tức phải trả cho cổ đông,Cổ tức phải trả cho cổ đông,Cổ tức phải trả cho cổ đông,-,-,-,-,-,-,(282.223),(282.223),,,,,,,-282223.0,-282223.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,(5.121),(5.121),,,,,,,-5121.0,-5121.0
Số dư tại 31/12/2017,Số dư tại 31/12/2017,Số dư tại 31/12/2017,5.644.425,1.158.533,(763.159),700.099,431.994,884.470,684.801,8.741.163,5644425.0,1158533.0,-763159.0,700099.0,431994.0,884470.0,684801.0,8741163.0
