row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy mócthiết bịtriệu đồng,Phương tiện vậntải và thiết bịtruyền đấnntriệu đồng,"Thiết bị, dụng cụquản lýtriệu đồng",TSCĐ hữu hìnhkháctriệu đồng,Tổng côngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy mócthiết bịtriệu đồng,numeric__Phương tiện vậntải và thiết bịtruyền đấnntriệu đồng,"numeric__Thiết bị, dụng cụquản lýtriệu đồng",numeric__TSCĐ hữu hìnhkháctriệu đồng,numeric__Tổng côngtriệu đồng
Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ: > Số dư đầu năm,Số dư đầu năm,94.051,272.443,66.555,24.511,78.276,535.836,94051.0,272443.0,66555.0,24511.0,78276.0,535836.0
Mua trong năm,Nguyên giá TSCĐ: > Mua trong năm,Mua trong năm,2.943,21.981,-,5.537,7.419,37.880,2943.0,21981.0,,5537.0,7419.0,37880.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,,,,,,
"Thanh lý, nhượng bán","Tăng khác > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.156),(10.755),(13.791),(33),(503),(26.238),-1156.0,-10755.0,-13791.0,-33.0,-503.0,-26238.0
Số dư cuối năm,Tăng khác > Số dư cuối năm,Số dư cuối năm,95.838,283.669,52.764,30.015,85.192,547.478,95838.0,283669.0,52764.0,30015.0,85192.0,547478.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,28.783,162.620,51.540,7.923,42.415,293.281,28783.0,162620.0,51540.0,7923.0,42415.0,293281.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,6.996,30.188,3.092,4.766,15.319,60.361,6996.0,30188.0,3092.0,4766.0,15319.0,60361.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.061),(10.745),(10.015),(33),(503),(22.357),-1061.0,-10745.0,-10015.0,-33.0,-503.0,-22357.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,34.718,182.063,44.617,12.656,57.231,331.285,34718.0,182063.0,44617.0,12656.0,57231.0,331285.0
Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,,,,,,
Tại ngày đầu năm,Giá trị còn lại của TSCĐ: > Tại ngày đầu năm,Tại ngày đầu năm,65.268,109.823,15.015,16.588,35.861,242.555,65268.0,109823.0,15015.0,16588.0,35861.0,242555.0
Tại ngày cuối năm,Giá trị còn lại của TSCĐ: > Tại ngày cuối năm,Tại ngày cuối năm,61.120,101.606,8.147,17.359,27.961,216.193,61120.0,101606.0,8147.0,17359.0,27961.0,216193.0
