row_label_raw,row_label_full,col_0,31/12/2017triệu đồng,31/12/2016triệu đồng,numeric__31/12/2017triệu đồng,numeric__31/12/2016triệu đồng
"Các khoản lãi, phí phải trả (i)","Các khoản lãi, phí phải trả (i)","Các khoản lãi, phí phải trả (i)",1.216.512,622.694,1216512.0,622694.0
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,293.786,241.547,293786.0,241547.0
Các khoản phải trả cán bộ nhân viên,Các khoản phải trả cán bộ nhân viên,Các khoản phải trả cán bộ nhân viên,199.399,166.183,199399.0,166183.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",34.356,31.752,34356.0,31752.0
Phải trả nội bộ khác,Phải trả nội bộ khác,Phải trả nội bộ khác,60.031,43.612,60031.0,43612.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,557.918,277.786,557918.0,277786.0
Thuế và các khoản phải nộp nhà nước (Thuyết minh số 21),Thuế và các khoản phải nộp nhà nước (Thuyết minh số 21),Thuế và các khoản phải nộp nhà nước (Thuyết minh số 21),161.529,63.018,161529.0,63018.0
Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,1.393,3.353,1393.0,3353.0
Phải trả thanh toán giữa các tổ chức tin dụng,Phải trả thanh toán giữa các tổ chức tin dụng,Phải trả thanh toán giữa các tổ chức tin dụng,89.182,57.196,89182.0,57196.0
Phải trả chuyển tiền chờ thanh toán,Phải trả chuyển tiền chờ thanh toán,Phải trả chuyển tiền chờ thanh toán,63.664,54.577,63664.0,54577.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,242.008,95.866,242008.0,95866.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,142,3.776,142.0,3776.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,10.843,1.769,10843.0,1769.0
,,,2.079.059,1.143.796,2079059.0,1143796.0
