row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình: > Số dư đầu năm,Số dư đầu năm,-,225.599,7.138,232.737,,225599.0,7138.0,232737.0
Mua trong năm,Nguyên giá TSCĐ vô hình: > Mua trong năm,Mua trong năm,-,51.442,-,51.442,,51442.0,,51442.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình: > Số dư cuối năm,Số dư cuối năm,-,277.041,7.138,284.179,,277041.0,7138.0,284179.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,-,99.550,4.404,103.954,,99550.0,4404.0,103954.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,-,29.207,992,30.199,,29207.0,992.0,30199.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,-,128.757,5.396,134.153,,128757.0,5396.0,134153.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày đầu năm,Giá trị còn lại: > Tại ngày đầu năm,Tại ngày đầu năm,-,126.049,2.734,128.783,,126049.0,2734.0,128783.0
Tại ngày cuối năm,Giá trị còn lại: > Tại ngày cuối năm,Tại ngày cuối năm,-,148.284,1.742,150.026,,148284.0,1742.0,150026.0
