row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày31 tháng 12 năm 2017,Miền Namtriệu đồng,Miền Bắctriệu đồng,Miền Trungtriệu đồng,Tổng bộ phận đã báo cáotriệu đồng,Loại trừtriệu đồng,Tổng côngtriệu đồng,numeric__Miền Namtriệu đồng,numeric__Miền Bắctriệu đồng,numeric__Miền Trungtriệu đồng,numeric__Tổng bộ phận đã báo cáotriệu đồng,numeric__Loại trừtriệu đồng,numeric__Tổng côngtriệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,2.895.464,3.821.642,535.458,7.252.564,-,7.252.564,2895464.0,3821642.0,535458.0,7252564.0,,7252564.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(1.527.348),(2.003.538),(278.534),(3.809.420),-,(3.809.420),-1527348.0,-2003538.0,-278534.0,-3809420.0,,-3809420.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,1.368.116,1.818.104,256.924,3.443.144,-,3.443.144,1368116.0,1818104.0,256924.0,3443144.0,,3443144.0
Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,150.201,435.028,39.092,624.321,-,624.321,150201.0,435028.0,39092.0,624321.0,,624321.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,1.518.317,2.253.132,296.016,4.067.465,-,4.067.465,1518317.0,2253132.0,296016.0,4067465.0,,4067465.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(562.254),(1.621.596),(128.766),(2.312.616),-,(2.312.616),-562254.0,-1621596.0,-128766.0,-2312616.0,,-2312616.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,956.063,631.536,167.250,1.754.849,-,1.754.849,956063.0,631536.0,167250.0,1754849.0,,1754849.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(108.585),(220.753),(20.597),(349.935),-,(349.935),-108585.0,-220753.0,-20597.0,-349935.0,,-349935.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,847.478,410.783,146.653,1.404.914,-,1.404.914,847478.0,410783.0,146653.0,1404914.0,,1404914.0
Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,-,(280.706),-,(280.706),-,(280.706),,-280706.0,,-280706.0,,-280706.0
LỢI NHUẬN THUẬN TRONG NĂM,LỢI NHUẬN THUẬN TRONG NĂM,LỢI NHUẬN THUẬN TRONG NĂM,847.478,130.077,146.653,1.124.208,-,1.124.208,847478.0,130077.0,146653.0,1124208.0,,1124208.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,,,,,,,,,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,,,,
Tiền mặt và tiền gửi tại NHNN,TÀI SẢN > Tiền mặt và tiền gửi tại NHNN,Tiền mặt và tiền gửi tại NHNN,552.691,3.797.794,253.455,4.603.940,-,4.603.940,552691.0,3797794.0,253455.0,4603940.0,,4603940.0
Tiền gửi tại và cho vay các TCTD khác,TÀI SẢN > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,33.533,10.236.065,5.367,10.274.965,-,10.274.965,33533.0,10236065.0,5367.0,10274965.0,,10274965.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,5.592,-,-,5.592,-,5.592,5592.0,,,5592.0,,5592.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,40.053.252,30.392.942,8.473.166,78.919.360,-,78.919.360,40053252.0,30392942.0,8473166.0,78919360.0,,78919360.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,93.830,861.944,-,955.774,-,955.774,93830.0,861944.0,,955774.0,,955774.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,1.928.456,21.221.940,-,23.150.396,-,23.150.396,1928456.0,21221940.0,,23150396.0,,23150396.0
"Gớp vốn, đều tư dài hạn","TÀI SẢN > Gớp vốn, đều tư dài hạn","Gớp vốn, đều tư dài hạn",-,213.947,-,213.947,-,213.947,,213947.0,,213947.0,,213947.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,-,366.219,-,366.219,-,366.219,,366219.0,,366219.0,,366219.0
Tài sản khác,TÀI SẢN > Tài sản khác,Tài sản khác,2.242.230,2.424.661,143.957,4.810.848,-,4.810.848,2242230.0,2424661.0,143957.0,4810848.0,,4810848.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,44.909.584,69.515.512,8.875.945,123.301.041,-,123.301.041,44909584.0,69515512.0,8875945.0,123301041.0,,123301041.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,1.000.000,-,1.000.000,-,1.000.000,,1000000.0,,1000000.0,,1000000.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,2.742,33.692.771,3,33.695.516,-,33.695.516,2742.0,33692771.0,3.0,33695516.0,,33695516.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,23.755.489,39.683.468,5.175.014,68.613.971,-,68.613.971,23755489.0,39683468.0,5175014.0,68613971.0,,68613971.0
Các công cụ tài chính phải sinh và các công nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các công nợ tài chính khác,Các công cụ tài chính phải sinh và các công nợ tài chính khác,-,95.023,-,95.023,-,95.023,,95023.0,,95023.0,,95023.0
"Vốn tài trợ, їy thác đầu tư, cho vay mà TCTD chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, їy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, їy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,31.248,-,31.248,-,31.248,,31248.0,,31248.0,,31248.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,815.896,7.996.362,232.803,9.045.061,-,9.045.061,815896.0,7996362.0,232803.0,9045061.0,,9045061.0
Nợ phải trả khác,NỘ PHẢI TRẢ > Nợ phải trả khác,Nợ phải trả khác,263.957,1.737.420,77.682,2.079.059,-,2.079.059,263957.0,1737420.0,77682.0,2079059.0,,2079059.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,24.838.084,84.236.292,5.485.502,114.559.878,-,114.559.878,24838084.0,84236292.0,5485502.0,114559878.0,,114559878.0
