row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh,Giá trị ghi sổ > Giữ đến ngày đáo hạn,Giá trị ghi sổ > Đi vay và phải trả,Giá trị ghi sổ > Sẵn sàng để bán,Giá trị ghi sổ > Công nợ và nợ khác hạch toán theo giá trị phân bổ,Đơn vị: triệu đồng > Tổng cộng giá trị ghi sổ,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn,numeric__Giá trị ghi sổ > Đi vay và phải trả,numeric__Giá trị ghi sổ > Sẵn sàng để bán,numeric__Giá trị ghi sổ > Công nợ và nợ khác hạch toán theo giá trị phân bổ,numeric__Đơn vị: triệu đồng > Tổng cộng giá trị ghi sổ
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,1.000.000,-,-,1.000.000 (*),,,1000000.0,,,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,33.695.516,-,-,33.695.516 (*),,,33695516.0,,,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,68.613.971,-,-,68.613.971 (*),,,68613971.0,,,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,89.431,-,-,89.431 (*),,,89431.0,,,
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,-,31.248,31.248 (*),,,,,31248.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,9.045.061,-,-,9.045.061 (*),,,9045061.0,,,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,1.216.817,-,862.242,2.079.059 (*),,,1216817.0,,862242.0,
,,,-,-,113.660.796,-,893.490,114.554.286 (*),,,113660796.0,,893490.0,
