row_label_raw,row_label_full,col_0,Giá trị ghi số > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh,Giá trị ghi số > Giữ đến ngày đáo hạn,Giá trị ghi số > Cho vay và phải thu,Giá trị ghi số > Sẵn sàng để bán,Giá trị ghi số > Tài sản hạch toán theo giá trị phân bổ,Giá trị ghi số > Tổng cộng giá trị ghi số,Giá trị ghi số > Giá trị hợp lý,numeric__Giá trị ghi số > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh,numeric__Giá trị ghi số > Giữ đến ngày đáo hạn,numeric__Giá trị ghi số > Cho vay và phải thu,numeric__Giá trị ghi số > Sẵn sàng để bán,numeric__Giá trị ghi số > Tài sản hạch toán theo giá trị phân bổ,numeric__Giá trị ghi số > Tổng cộng giá trị ghi số,numeric__Giá trị ghi số > Giá trị hợp lý
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,-,-,1.016.390,1.016.390,1.016.390,,,,,1016390.0,1016390.0,1016390.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,-,3.587.550,3.587.550,(*),,,,,3587550.0,3587550.0,
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,-,-,10.274.965,10.274.965,(*),,,,,10274965.0,10274965.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,78.919.360,-,-,78.919.360,(*),,,78919360.0,,,78919360.0,
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,-,-,955.774,-,-,955.774,(*),,,955774.0,,,955774.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,22.275.304,-,22.275.304,(*),,,,22275304.0,,22275304.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,875.092,-,-,-,875.092,(*),,875092.0,,,,875092.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,4.275.808,-,535.040,4.810.848,(*),,,4275808.0,,535040.0,4810848.0,
,,,-,875.092,84.150.942,22.275.304,15.413.945,122.715.283,(*),,875092.0,84150942.0,22275304.0,15413945.0,122715283.0,
