row_label_raw,row_label_full,A.7.12. Nợ khó đòi đã xử lýNợ phải thu khó đòi đã xử lýCông ty Cổ phần Công nghiệp Tàu thủy Shinnec,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
A.7.12. Nợ khó đòi đã xử lýNợ phải thu khó đòi đã xử lýCông ty Cổ phần Công nghiệp Tàu thủy Shinnec,A.7.12. Nợ khó đòi đã xử lýNợ phải thu khó đòi đã xử lýCông ty Cổ phần Công nghiệp Tàu thủy Shinnec,A.7.12. Nợ khó đòi đã xử lýNợ phải thu khó đòi đã xử lýCông ty Cổ phần Công nghiệp Tàu thủy Shinnec,172.000.000,172.000.000,172000000.0,172000000.0
Cộng,Cộng,Cộng,172.000.000,172.000.000,172000000.0,172000000.0
A.7.13. Tài sản tài chính niêm yết/dăng ký giao dịch của CTCKTài sản tài chính,A.7.13. Tài sản tài chính niêm yết/dăng ký giao dịch của CTCKTài sản tài chính,A.7.13. Tài sản tài chính niêm yết/dăng ký giao dịch của CTCKTài sản tài chính,Số cuối năm,Số đầu năm,,
1.Tài sản tài chính giao dịch tự do chuyển nhượng,A.7.13. Tài sản tài chính niêm yết/dăng ký giao dịch của CTCKTài sản tài chính > 1.Tài sản tài chính giao dịch tự do chuyển nhượng,1.Tài sản tài chính giao dịch tự do chuyển nhượng,463.004.470.000,462.842.000.000,463004470000.0,462842000000.0
2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,,,,
Cộng,2.Tài sản tài chính giao dịch hạn chế chuyển nhượng > Cộng,Cộng,463.004.470.000,462.842.000.000,463004470000.0,462842000000.0
A.7.14. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính,A.7.14. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính,A.7.14. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính giao dịch tự do chuyển nhượng của CTCK - OTC,A.7.14. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính > Tài sản tài chính giao dịch tự do chuyển nhượng của CTCK - OTC,Tài sản tài chính giao dịch tự do chuyển nhượng của CTCK - OTC,2.674.730.000,2.674.730.000,2674730000.0,2674730000.0
Tài sản tài chính giao dịch cảm có của CTCK - OTC,A.7.14. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính > Tài sản tài chính giao dịch cảm có của CTCK - OTC,Tài sản tài chính giao dịch cảm có của CTCK - OTC,120.000.000.000,120.000.000.000,120000000000.0,120000000000.0
Tài sản tài chính niêm yết/dăng ký giao dịch nhưng chưa lưu ký của CTCK - Tự do chuyển nhượng,A.7.14. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính > Tài sản tài chính niêm yết/dăng ký giao dịch nhưng chưa lưu ký của CTCK - Tự do chuyển nhượng,Tài sản tài chính niêm yết/dăng ký giao dịch nhưng chưa lưu ký của CTCK - Tự do chuyển nhượng,84.000.000.000,84.000.000.000,84000000000.0,84000000000.0
