row_label_raw,row_label_full,A.7.12. Bad debts treatedBad debts treated,A.7.12. Bad debts treatedBad debts treated_1,A.7.12. Bad debts treatedBad debts treated_2,numeric__A.7.12. Bad debts treatedBad debts treated_1,numeric__A.7.12. Bad debts treatedBad debts treated_2
Shinec Joint Stock Company,Shinec Joint Stock Company,Shinec Joint Stock Company,Ending balance,Opening balance,,
Shinec Joint Stock Company,Shinec Joint Stock Company > Shinec Joint Stock Company,Shinec Joint Stock Company,172.000.000,172.000.000,172000000.0,172000000.0
Total,Shinec Joint Stock Company > Total,Total,172.000.000,172.000.000,172000000.0,172000000.0
A.7.13. Financial assets listed/registered transactions of the CompanyFinancial assets,A.7.13. Financial assets listed/registered transactions of the CompanyFinancial assets,A.7.13. Financial assets listed/registered transactions of the CompanyFinancial assets,A.7.13. Financial assets listed/registered transactions of the CompanyFinancial assets,A.7.13. Financial assets listed/registered transactions of the CompanyFinancial assets,,
1. Freely transferring financial assets,1. Freely transferring financial assets,1. Freely transferring financial assets,Ending balance,Opening balance,,
2. Limited transferring financial assets,1. Freely transferring financial assets > 2. Limited transferring financial assets,2. Limited transferring financial assets,463.004.470.000,462.842.000.000,463004470000.0,462842000000.0
Total,1. Freely transferring financial assets > Total,Total,463.004.470.000,462.842.000.000,463004470000.0,462842000000.0
A.7.14. Financial assets have not been deposited yet at Vietnam Securities Depository,A.7.14. Financial assets have not been deposited yet at Vietnam Securities Depository,A.7.14. Financial assets have not been deposited yet at Vietnam Securities Depository,A.7.14. Financial assets have not been deposited yet at Vietnam Securities Depository,A.7.14. Financial assets have not been deposited yet at Vietnam Securities Depository,,
Financial assets,Financial assets,Financial assets,Ending balance,Opening balance,,
Freely transferred financial assets of the Company - OTC,Financial assets > Freely transferred financial assets of the Company - OTC,Freely transferred financial assets of the Company - OTC,2.674.730.000,2.674.730.000,2674730000.0,2674730000.0
Mortgaged and traded financial assets of the Company - OTC,Financial assets > Mortgaged and traded financial assets of the Company - OTC,Mortgaged and traded financial assets of the Company - OTC,120.000.000.000,120.000.000.000,120000000000.0,120000000000.0
"Listed financial assets/ registered transactions have not been deposited yetat Vietnam Securities Depository of the Company, freely transferred yet","Financial assets > Listed financial assets/ registered transactions have not been deposited yetat Vietnam Securities Depository of the Company, freely transferred yet","Listed financial assets/ registered transactions have not been deposited yetat Vietnam Securities Depository of the Company, freely transferred yet",84.000.000.000,84.000.000.000,84000000000.0,84000000000.0
"Listed financial assets/ registered transactions have not been deposited yetat Vietnam Securities Depository of the Company, limited to transfer","Listed financial assets/ registered transactions have not been deposited yetat Vietnam Securities Depository of the Company, limited to transfer","Listed financial assets/ registered transactions have not been deposited yetat Vietnam Securities Depository of the Company, limited to transfer",,,,
Total,"Listed financial assets/ registered transactions have not been deposited yetat Vietnam Securities Depository of the Company, limited to transfer > Total",Total,206.674.730.000,206.674.730.000,206674730000.0,206674730000.0
A.7.15. Financial assets are entitled of the CompanyFinancial assets,A.7.15. Financial assets are entitled of the CompanyFinancial assets,A.7.15. Financial assets are entitled of the CompanyFinancial assets,A.7.15. Financial assets are entitled of the CompanyFinancial assets,A.7.15. Financial assets are entitled of the CompanyFinancial assets,,
Financial assets,Financial assets,Financial assets,Ending balance,Opening balance,,
Financial assets are entitled of the Company,Financial assets > Financial assets are entitled of the Company,Financial assets are entitled of the Company,,10.000,,10000.0
Total,Financial assets > Total,Total,,10.000,,10000.0
A.7.16. Financial assets listed/registered transactions of Investors,A.7.16. Financial assets listed/registered transactions of Investors,A.7.16. Financial assets listed/registered transactions of Investors,A.7.16. Financial assets listed/registered transactions of Investors,A.7.16. Financial assets listed/registered transactions of Investors,,
Financial assets,Financial assets,Financial assets,Ending balance,Opening balance,,
1. Freely transferred financial assets,Financial assets > 1. Freely transferred financial assets,1. Freely transferred financial assets,30.915.187.615.975,27.268.783.294.159,30915187615975.0,27268783294159.0
2. Restrictedly transferred financial assets,Financial assets > 2. Restrictedly transferred financial assets,2. Restrictedly transferred financial assets,111.405.300.000,110.099.600.000,111405300000.0,110099600000.0
3. Mortgaged and traded financial assets,Financial assets > 3. Mortgaged and traded financial assets,3. Mortgaged and traded financial assets,1.133.522.100.000,1.034.294.920.000,1133522100000.0,1034294920000.0
4. Blocked financial assets,Financial assets > 4. Blocked financial assets,4. Blocked financial assets,10.715.400.000,26.129.190.000,10715400000.0,26129190000.0
5. Awaiting settlement financial assets,Financial assets > 5. Awaiting settlement financial assets,5. Awaiting settlement financial assets,296.592.669.000,598.067.036.300,296592669000.0,598067036300.0
6. Awaiting lending financial assets,6. Awaiting lending financial assets,6. Awaiting lending financial assets,,,,
Total,6. Awaiting lending financial assets > Total,Total,32.467.423.084.975,29.037.374.040.459,32467423084975.0,29037374040459.0
