row_label_raw,row_label_full,Short-term borrowings,Rate,Balance at the beginning of the period,Addition during the period,Repayment during the period,Ending balance,numeric__Rate,numeric__Balance at the beginning of the period,numeric__Addition during the period,numeric__Repayment during the period,numeric__Ending balance
Domestic short-term borrowings,Domestic short-term borrowings,Domestic short-term borrowings,,3.092.000.000.000,10.873.000.000.000,9.425.000.000.000,4.540.000.000.000,,3092000000000.0,10873000000000.0,9425000000000.0,4540000000000.0
VIB,VIB,VIB,5.2%-6%,400.000.000.000,1.050.000.000.000,800.000.000.000,650.000.000.000,,400000000000.0,1050000000000.0,800000000000.0,650000000000.0
Techcombank,Techcombank,Techcombank,5.1%-6.1%,,755.000.000.000,355.000.000.000,400.000.000.000,,,755000000000.0,355000000000.0,400000000000.0
Vietinbank - Nam Thang Long Branch,Vietinbank - Nam Thang Long Branch,Vietinbank - Nam Thang Long Branch,3.6%-6%,800.000.000.000,1.760.000.000.000,1.830.000.000.000,730.000.000.000,,800000000000.0,1760000000000.0,1830000000000.0,730000000000.0
Maritime Bank,Maritime Bank,Maritime Bank,4.5%-6.2%,500.000.000.000,2.300.000.000.000,2.000.000.000.000,800.000.000.000,,500000000000.0,2300000000000.0,2000000000000.0,800000000000.0
VPBank,VPBank,VPBank,5.5%-7.3%,300.000.000.000,2.300.000.000.000,2.000.000.000.000,600.000.000.000,,300000000000.0,2300000000000.0,2000000000000.0,600000000000.0
TPBank,TPBank,TPBank,6.2%,,110.000.000.000,,110.000.000.000,0.62,,110000000000.0,,110000000000.0
ACB,ACB,ACB,4%-6%,,1.200.000.000.000,700.000.000.000,500.000.000.000,,,1200000000000.0,700000000000.0,500000000000.0
Woori Bank - Hoan Kiem Branch,Woori Bank - Hoan Kiem Branch,Woori Bank - Hoan Kiem Branch,3.65%-4.15%,178.000.000.000,98.000.000.000,276.000.000.000,,,178000000000.0,98000000000.0,276000000000.0,
Vietcombank - Thanh Xuan Branch,Vietcombank - Thanh Xuan Branch,Vietcombank - Thanh Xuan Branch,3.4%-6%,450.000.000.000,1.000.000.000.000,1.000.000.000.000,450.000.000.000,,450000000000.0,1000000000000.0,1000000000000.0,450000000000.0
HDBank,HDBank,HDBank,4%-5%,464.000.000.000,300.000.000.000,464.000.000.000,300.000.000.000,,464000000000.0,300000000000.0,464000000000.0,300000000000.0
Borrow from other domestic organizations and individuals,Borrow from other domestic organizations and individuals,Borrow from other domestic organizations and individuals,"2%-5,8%",56.101.835.693,3.287.228.112.821,2.407.396.362.486,935.933.586.028,,56101835693.0,3287228112821.0,2407396362486.0,935933586028.0
Total,Total,Total,,3.148.101.835.693,14.160.228.112.821,11.832.396.362.486,5.475.933.586.028,,3148101835693.0,14160228112821.0,11832396362486.0,5475933586028.0
