row_label_raw,row_label_full,Related parties,Relative,CÔNG TY,numeric__Relative,numeric__CÔNG TY
"SBI FINANCIAL SERVICES CO., LTD","SBI FINANCIAL SERVICES CO., LTD","SBI FINANCIAL SERVICES CO., LTD",Major shareholder,TNHHVUTUVHINHKET,,
FPT Corporation,FPT Corporation,FPT Corporation,Major shareholder,TNHHVUTUVHINHKET,,
"FPT IS Co., Ltd (formerly FPT Information System Co., Ltd)","FPT IS Co., Ltd (formerly FPT Information System Co., Ltd)","FPT IS Co., Ltd (formerly FPT Information System Co., Ltd)",Related party,KIEM TOA,,
"The Board of Directors, the Board of Management, Audit Committee, Chief Accountant, Person authorized to disclose information","The Board of Directors, the Board of Management, Audit Committee, Chief Accountant, Person authorized to disclose information","The Board of Directors, the Board of Management, Audit Committee, Chief Accountant, Person authorized to disclose information",Executive Board and key personnel,PHIA NAM,,
