row_label_raw,row_label_full,col_0,Items,Current period,Previous period,numeric__Items,numeric__Current period,numeric__Previous period
Accounting profit after CIT,Accounting profit after CIT,Accounting profit after CIT,,567.317.494.337,444.917.590.949,,567317494337.0,444917590949.0
Profit or loss attributable to ordinary equity holders,Profit or loss attributable to ordinary equity holders,Profit or loss attributable to ordinary equity holders,,567.317.494.337,444.917.590.949,,567317494337.0,444917590949.0
Bonus and welfare fund,Bonus and welfare fund,Bonus and welfare fund,,,41.301.159.801,,,41301159801.0
The weighted average of outstanding shares,The weighted average of outstanding shares,The weighted average of outstanding shares,,303.532.120,214.564.987,,303532120.0,214564987.0
Basic earnings per share,Basic earnings per share,Basic earnings per share,,1.869,1.881,,1869.0,1881.0
