row_label_raw,row_label_full,No,Types of financial assets,Ending balance,Ending balance_1,Ending balance_2,Ending balance_3,Ending balance_4,Opening balance,Opening balance_1,Opening balance_2,Opening balance_3,Opening balance_4,numeric__Types of financial assets,numeric__Ending balance,numeric__Ending balance_1,numeric__Ending balance_2,numeric__Ending balance_3,numeric__Ending balance_4,numeric__Opening balance,numeric__Opening balance_1,numeric__Opening balance_2,numeric__Opening balance_3,numeric__Opening balance_4
No,No,No,Types of financial assets,Purchase price,Market price or fair value in this period,Difference is evaluated in this period,Difference is evaluated in this period,Re-evaluation value,Purchase price,Market price or fair value in previous period,Difference is evaluated in previous period,Difference is evaluated in previous period,Re-evaluation value,,,,,,,,,,,
No,No,No,Types of financial assets,Purchase price,Market price or fair value in this period,Difference increases,Difference decreases,Re-evaluation value,Purchase price,Market price or fair value in previous period,Difference increases,Difference decreases,Re-evaluation value,,,,,,,,,,,
A,No > A,A,B,1,2,3=(2-1),4=(1-2),5=(1+3-4),6,7,8=(7-6),9=(6-7),10=(6+8-9),,1.0,2.0,,,,6.0,7.0,,,
I,I,I,FVTPL,,,,,,,,,,,,,,,,,,,,,
1,I > 1,1,Shares,16.595.890.833,502.094.624.647,485.503.022.069,4.288.255,502.094.624.647,16.400.532.728,351.393.976.595,334.999.717.599,6.273.732,351.393.976.595,,16595890833.0,502094624647.0,485503022069.0,4288255.0,502094624647.0,16400532728.0,351393976595.0,334999717599.0,6273732.0,351393976595.0
1.1,I > 1.1,1.1,"Listed shares, registered for trading",14.571.814.929,500.070.548.743,485.503.022.069,4.288.255,500.070.548.743,14.376.456.824,349.369.900.691,334.999.717.599,6.273.732,349.369.900.691,,14571814929.0,500070548743.0,485503022069.0,4288255.0,500070548743.0,14376456824.0,349369900691.0,334999717599.0,6273732.0,349369900691.0
,,,MSH - Song Hong Garment JSC,13.454.983.050,498.787.640.000,485.332.656.950,,498.787.640.000,13.454.983.050,348.192.141.000,334.737.157.950,,348.192.141.000,,13454983050.0,498787640000.0,485332656950.0,,498787640000.0,13454983050.0,348192141000.0,334737157950.0,,348192141000.0
,,,Other listed shares,1.116.831.879,1.282.908.743,170.365.119,4.288.255,1.282.908.743,921.473.774,1.177.759.691,262.559.649,6.273.732,1.177.759.691,,1116831879.0,1282908743.0,170365119.0,4288255.0,1282908743.0,921473774.0,1177759691.0,262559649.0,6273732.0,1177759691.0
1.2,I > 1.2,1.2,Unlisted shares,2.024.075.904,2.024.075.904,,,2.024.075.904,2.024.075.904,2.024.075.904,,,2.024.075.904,,2024075904.0,2024075904.0,,,2024075904.0,2024075904.0,2024075904.0,,,2024075904.0
,,,CIC8 - No. 8 Investment and Construction JSC,2.000.000.000,2.000.000.000,,,2.000.000.000,2.000.000.000,2.000.000.000,,,2.000.000.000,,2000000000.0,2000000000.0,,,2000000000.0,2000000000.0,2000000000.0,,,2000000000.0
,,,Other unlisted shares,24.075.904,24.075.904,,,24.075.904,24.075.904,24.075.904,,,24.075.904,,24075904.0,24075904.0,,,24075904.0,24075904.0,24075904.0,,,24075904.0
2,I > 2,2,Listed Bonds,559.940.500.000,559.940.500.000,,,559.940.500.000,474.157.500.000,474.157.500.000,,,474.157.500.000,,559940500000.0,559940500000.0,,,559940500000.0,474157500000.0,474157500000.0,,,474157500000.0
,,,Government bonds,559.940.500.000,559.940.500.000,,,559.940.500.000,474.157.500.000,474.157.500.000,,,474.157.500.000,,559940500000.0,559940500000.0,,,559940500000.0,474157500000.0,474157500000.0,,,474157500000.0
3,I > 3,3,Bonds,120.000.000.000,120.000.000.000,,,120.000.000.000,120.000.000.000,120.000.000.000,,,120.000.000.000,,120000000000.0,120000000000.0,,,120000000000.0,120000000000.0,120000000000.0,,,120000000000.0
,,,Vietinbank Bond,120.000.000.000,120.000.000.000,,,120.000.000.000,120.000.000.000,120.000.000.000,,,120.000.000.000,,120000000000.0,120000000000.0,,,120000000000.0,120000000000.0,120000000000.0,,,120000000000.0
4,I > 4,4,"Deposits with fixed term, Certificate of Deposit",732.000.000.000,732.000.000.000,,,732.000.000.000,403.761.703.435,403.761.703.435,,,403.761.703.435,,732000000000.0,732000000000.0,,,732000000000.0,403761703435.0,403761703435.0,,,403761703435.0
II,II,II,AFS,,,,,,,,,,,,,,,,,,,,,
,,,Total,1.428.536.390.833,1.914.035.124.647,485.503.022.069,4.288.255,1.914.035.124.647,1.014.319.736.163,1.349.313.180.030,334.999.717.599,6.273.732,1.349.313.180.030,,1428536390833.0,1914035124647.0,485503022069.0,4288255.0,1914035124647.0,1014319736163.0,1349313180030.0,334999717599.0,6273732.0,1349313180030.0
