row_label_raw,row_label_full,A.7.1. Cash and cash equivalents,A.7.1. Cash and cash equivalents_1,Ending balance,Opening balance,numeric__A.7.1. Cash and cash equivalents_1,numeric__Ending balance,numeric__Opening balance
- Cash on hand,- Cash on hand,- Cash on hand,,120.717.139,125.693.709,,120717139.0,125693709.0
- Deposit at bank for activities of securities company,- Deposit at bank for activities of securities company,- Deposit at bank for activities of securities company,,155.564.781.833,415.231.636.073,,155564781833.0,415231636073.0
- Cash equivalents (*),- Cash equivalents (*),- Cash equivalents (*),,409.879.025.024,838.000.000.000,,409879025024.0,838000000000.0
Total,Total,Total,,565.564.523.996,1.253.357.329.782,,565564523996.0,1253357329782.0
