row_label_raw,row_label_full,Items,Codes,Notes,Ending balance,Opening balance,numeric__Codes,numeric__Notes,numeric__Ending balance,numeric__Opening balance
A,A,A,B,C,1,2,,,1.0,2.0
C. LIABILITIES (300 = 310 + 340),C. LIABILITIES (300 = 310 + 340),C. LIABILITIES (300 = 310 + 340),300,,5.641.592.000.542,4.590.747.359.986,300.0,,5641592000542.0,4590747359986.0
I. Current liabilities,I. Current liabilities,I. Current liabilities,310,,5.641.592.000.542,4.590.747.359.986,310.0,,5641592000542.0,4590747359986.0
1. Borrowings and short-term financial liabilities,1. Borrowings and short-term financial liabilities,1. Borrowings and short-term financial liabilities,311,A.7.27,5.475.933.586.028,3.148.101.835.693,311.0,,5475933586028.0,3148101835693.0
1.1. Short-term borrowings,1.1. Short-term borrowings,1.1. Short-term borrowings,312,,5.475.933.586.028,3.148.101.835.693,312.0,,5475933586028.0,3148101835693.0
1.2. Short-term financial liabilities,1.2. Short-term financial liabilities,1.2. Short-term financial liabilities,313,,,,313.0,,,
6. Payables to securities transaction,6. Payables to securities transaction,6. Payables to securities transaction,318,,7.371.171.602,,318.0,,7371171602.0,
8. Short-term payment to suppliers,8. Short-term payment to suppliers,8. Short-term payment to suppliers,320,A.7.25,971.133.640,442.083.967,320.0,,971133640.0,442083967.0
9. Short-term advance to customers,9. Short-term advance to customers,9. Short-term advance to customers,321,,4.079.400.000,4.107.218.000,321.0,,4079400000.0,4107218000.0
10. Taxes and payables to the State,10. Taxes and payables to the State,10. Taxes and payables to the State,322,A.7.23,30.681.520.777,32.533.739.831,322.0,,30681520777.0,32533739831.0
11. Payables to employees,11. Payables to employees,11. Payables to employees,323,,21.214.075.313,20.687.018.572,323.0,,21214075313.0,20687018572.0
12. Employee benefits deductions,12. Employee benefits deductions,12. Employee benefits deductions,324,,2.031.858.427,1.747.928.245,324.0,,2031858427.0,1747928245.0
13. Short-term accrued expenses,13. Short-term accrued expenses,13. Short-term accrued expenses,325,A.7.24,9.246.767.305,11.635.008.140,325.0,,9246767305.0,11635008140.0
