row_label_raw,row_label_full,"A.7.22. Payable dividends, bond principal and interest- Payable dividends to shareholders or profit for contributors",Ending balance,Opening balance,numeric__Ending balance,numeric__Opening balance
"A.7.22. Payable dividends, bond principal and interest- Payable dividends to shareholders or profit for contributors","A.7.22. Payable dividends, bond principal and interest- Payable dividends to shareholders or profit for contributors","A.7.22. Payable dividends, bond principal and interest- Payable dividends to shareholders or profit for contributors",4.369.700.500,4.019.015.500,4369700500.0,4019015500.0
Total,Total,Total,4.369.700.500,4.019.015.500,4369700500.0,4019015500.0
A.7.23. Taxes and payables to the State,A.7.23. Taxes and payables to the State,A.7.23. Taxes and payables to the State,Ending balance,Opening balance,,
- Corporate income tax,A.7.23. Taxes and payables to the State > - Corporate income tax,- Corporate income tax,15.052.758.544,19.078.882.703,15052758544.0,19078882703.0
- Personal income tax,A.7.23. Taxes and payables to the State > - Personal income tax,- Personal income tax,14.257.605.893,12.383.724.473,14257605893.0,12383724473.0
- Other taxes,A.7.23. Taxes and payables to the State > - Other taxes,- Other taxes,1.371.156.340,1.071.132.655,1371156340.0,1071132655.0
Total,A.7.23. Taxes and payables to the State > Total,Total,30.681.520.777,32.533.739.831,30681520777.0,32533739831.0
"A.7.24. Costs payableCost of stock exchange, custody fee and transfer fee, agency fee for opening account","A.7.24. Costs payableCost of stock exchange, custody fee and transfer fee, agency fee for opening account","A.7.24. Costs payableCost of stock exchange, custody fee and transfer fee, agency fee for opening account",Ending balance,Opening balance,,
"A.7.24. Costs payableCost of stock exchange, custody fee and transfer fee, agency fee for opening account","A.7.24. Costs payableCost of stock exchange, custody fee and transfer fee, agency fee for opening account > A.7.24. Costs payableCost of stock exchange, custody fee and transfer fee, agency fee for opening account","A.7.24. Costs payableCost of stock exchange, custody fee and transfer fee, agency fee for opening account",9.246.767.305,11.635.008.140,9246767305.0,11635008140.0
Total,"A.7.24. Costs payableCost of stock exchange, custody fee and transfer fee, agency fee for opening account > Total",Total,9.246.767.305,11.635.008.140,9246767305.0,11635008140.0
A.7.25. Payable to seller,A.7.25. Payable to seller,A.7.25. Payable to seller,Ending balance,Opening balance,,
"- FPT Information Services Co., Ltd","A.7.25. Payable to seller > - FPT Information Services Co., Ltd","- FPT Information Services Co., Ltd",515.680.000,,515680000.0,
"- FPT Software Co., Ltd","A.7.25. Payable to seller > - FPT Software Co., Ltd","- FPT Software Co., Ltd",250.000.800,94.400.000,250000800.0,94400000.0
"- FPT Smart Cloud Co., Ltd","A.7.25. Payable to seller > - FPT Smart Cloud Co., Ltd","- FPT Smart Cloud Co., Ltd",63.125.260,,63125260.0,
- 24 General Media JSC,A.7.25. Payable to seller > - 24 General Media JSC,- 24 General Media JSC,46.980.000,,46980000.0,
- FPT Telecommunications JSC,A.7.25. Payable to seller > - FPT Telecommunications JSC,- FPT Telecommunications JSC,35.346.500,,35346500.0,
"- Branch of Lavie Co., Ltd. - In Hanoi","A.7.25. Payable to seller > - Branch of Lavie Co., Ltd. - In Hanoi","- Branch of Lavie Co., Ltd. - In Hanoi",21.875.400,10.540.800,21875400.0,10540800.0
"- Green Star Hanoi Trading & Service Co., Ltd","A.7.25. Payable to seller > - Green Star Hanoi Trading & Service Co., Ltd","- Green Star Hanoi Trading & Service Co., Ltd",17.250.000,25.500.000,17250000.0,25500000.0
- TSC VN Technology Service Joint Stock Company,A.7.25. Payable to seller > - TSC VN Technology Service Joint Stock Company,- TSC VN Technology Service Joint Stock Company,8.212.400,85.322.500,8212400.0,85322500.0
- Tam Thanh Safe Food JSC,A.7.25. Payable to seller > - Tam Thanh Safe Food JSC,- Tam Thanh Safe Food JSC,4.223.775,,4223775.0,
- 247 Express,A.7.25. Payable to seller > - 247 Express,- 247 Express,3.640.017,,3640017.0,
"- Hanoi Petroleum Investment Co., Ltd","A.7.25. Payable to seller > - Hanoi Petroleum Investment Co., Ltd","- Hanoi Petroleum Investment Co., Ltd",2.264.400,,2264400.0,
"- Mai Linh Hanoi Technology Transport Co., Ltd","A.7.25. Payable to seller > - Mai Linh Hanoi Technology Transport Co., Ltd","- Mai Linh Hanoi Technology Transport Co., Ltd",1.850.000,,1850000.0,
"- Branch of FPT International Telecommunications Co., Ltd","A.7.25. Payable to seller > - Branch of FPT International Telecommunications Co., Ltd","- Branch of FPT International Telecommunications Co., Ltd",685.088,,685088.0,
- Da Nang Branch - FPT Telecommunications JSC,A.7.25. Payable to seller > - Da Nang Branch - FPT Telecommunications JSC,- Da Nang Branch - FPT Telecommunications JSC,,896.500,,896500.0
"- Digital Era Software Co., Ltd","A.7.25. Payable to seller > - Digital Era Software Co., Ltd","- Digital Era Software Co., Ltd",,75.950.000,,75950000.0
"- Mai Linh Da Nang Co., Ltd","A.7.25. Payable to seller > - Mai Linh Da Nang Co., Ltd","- Mai Linh Da Nang Co., Ltd",,561.000,,561000.0
"- Als Logistics Services Co., Ltd","A.7.25. Payable to seller > - Als Logistics Services Co., Ltd","- Als Logistics Services Co., Ltd",,9.771.858,,9771858.0
- P.E.N.T.H.O.U.S.E Construction JSC,A.7.25. Payable to seller > - P.E.N.T.H.O.U.S.E Construction JSC,- P.E.N.T.H.O.U.S.E Construction JSC,,135.000.000,,135000000.0
- Branch of 247 Express in Hanoi,A.7.25. Payable to seller > - Branch of 247 Express in Hanoi,- Branch of 247 Express in Hanoi,,4.141.309,,4141309.0
Total,A.7.25. Payable to seller > Total,Total,971.133.640,442.083.967,971133640.0,442083967.0
A.7.26. Other payables,A.7.26. Other payables,A.7.26. Other payables,Ending balance,Opening balance,,
- Payables dividends to shareholders or profit for contributors,A.7.26. Other payables > - Payables dividends to shareholders or profit for contributors,- Payables dividends to shareholders or profit for contributors,4.369.700.500,4.019.015.500,4369700500.0,4019015500.0
