row_label_raw,row_label_full,FVTPL assets,Ending balance,Ending balance_1,Opening balance,Opening balance_1,numeric__Ending balance,numeric__Ending balance_1,numeric__Opening balance,numeric__Opening balance_1
FVTPL assets,FVTPL assets,FVTPL assets,Cost,Reasonable cost,Cost,Reasonable cost,,,,
"Listed shares, registered for trading","FVTPL assets > Listed shares, registered for trading","Listed shares, registered for trading",14.571.814.929,500.070.548.743,14.376.456.824,349.369.900.691,14571814929.0,500070548743.0,14376456824.0,349369900691.0
Unlisted shares,FVTPL assets > Unlisted shares,Unlisted shares,2.024.075.904,2.024.075.904,2.024.075.904,2.024.075.904,2024075904.0,2024075904.0,2024075904.0,2024075904.0
Listed bonds,FVTPL assets > Listed bonds,Listed bonds,559.940.500.000,559.940.500.000,474.157.500.000,474.157.500.000,559940500000.0,559940500000.0,474157500000.0,474157500000.0
Unlisted bonds (*),FVTPL assets > Unlisted bonds (*),Unlisted bonds (*),120.000.000.000,120.000.000.000,120.000.000.000,120.000.000.000,120000000000.0,120000000000.0,120000000000.0,120000000000.0
"Fixed term deposits, certificate of deposit (**)","FVTPL assets > Fixed term deposits, certificate of deposit (**)","Fixed term deposits, certificate of deposit (**)",732.000.000.000,732.000.000.000,403.761.703.435,403.761.703.435,732000000000.0,732000000000.0,403761703435.0,403761703435.0
Total,FVTPL assets > Total,Total,1.428.536.390.833,1.914.035.124.647,1.014.319.736.163,1.349.313.180.030,1428536390833.0,1914035124647.0,1014319736163.0,1349313180030.0
