row_label_raw,row_label_full,Items,Codes,Notes,Ending balance,Opening balance,numeric__Codes,numeric__Notes,numeric__Ending balance,numeric__Opening balance
A,A,A,B,C,1,2,,,1.0,2.0
A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS,,,,,,,,
1. Leased fixed assets,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 1. Leased fixed assets,1. Leased fixed assets,001,,,,1.0,,,
2. Valued certificate under trust,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 2. Valued certificate under trust,2. Valued certificate under trust,002,,,,2.0,,,
3. Hypothecated assets,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 3. Hypothecated assets,3. Hypothecated assets,003,,,,3.0,,,
4. Bad debts treated,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 4. Bad debts treated,4. Bad debts treated,004,A.7.12,172.000.000,172.000.000,4.0,,172000000.0,172000000.0
5. Foreign currencies,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 5. Foreign currencies,5. Foreign currencies,005,,,,5.0,,,
6. Outstanding shares,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 6. Outstanding shares,6. Outstanding shares,006,,305.919.366,214.564.987,6.0,,305919366.0,214564987.0
7. Treasury stock,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 7. Treasury stock,7. Treasury stock,007,,,,7.0,,,
8. Financial assets listed/registered transactions at Vietnam Securities Depository of the Securities Company,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 8. Financial assets listed/registered transactions at Vietnam Securities Depository of the Securities Company,8. Financial assets listed/registered transactions at Vietnam Securities Depository of the Securities Company,008,A.7.13,463.004.470.000,462.842.000.000,8.0,,463004470000.0,462842000000.0
9. Financial assets have been deposited at Vietnam Securities Depository and have not transacted yet,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 9. Financial assets have been deposited at Vietnam Securities Depository and have not transacted yet,9. Financial assets have been deposited at Vietnam Securities Depository and have not transacted yet,009,,,,9.0,,,
10. Awaiting financial assets of the Company,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 10. Awaiting financial assets of the Company,10. Awaiting financial assets of the Company,010,,,,10.0,,,
