row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc","Phương tiện,vận tải truyền dẫn","Máy móc,thiết bị","Thiết bị, dụng cụquản lý",Tổng cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Phương tiện,vận tải truyền dẫn","numeric__Máy móc,thiết bị","numeric__Thiết bị, dụng cụquản lý",numeric__Tổng cộng
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,168.659.560.363,1.659.266.200,2.323.000.000,85.553.484.066,258.195.310.629,168659560363.0,1659266200.0,2323000000.0,85553484066.0,258195310629.0
- Mua trong năm,Nguyên giá TSCĐ hữu hình > - Mua trong năm,- Mua trong năm,,,,4.216.221.284,4.216.221.284,,,,4216221284.0,4216221284.0
- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,,,,,,,,,,
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,
- Chuyển sang bắt động sản đầu tư,- Chuyển sang bắt động sản đầu tư,- Chuyển sang bắt động sản đầu tư,,,,,,,,,,
"- Thanh lý, nhượng bán","- Chuyển sang bắt động sản đầu tư > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,,237.233.900,237.233.900,,,,237233900.0,237233900.0
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,168.659.560.363,1.659.266.200,2.323.000.000,89.532.471.450,262.174.298.013,168659560363.0,1659266200.0,2323000000.0,89532471450.0,262174298013.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,49.171.830.063,1.624.612.156,2.323.000.000,67.919.566.717,121.039.008.936,49171830063.0,1624612156.0,2323000000.0,67919566717.0,121039008936.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,6.749.440.545,34.654.044,,12.223.043.495,19.007.138.084,6749440545.0,34654044.0,,12223043495.0,19007138084.0
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,
- Chuyển sang bắt động sản đầu tư,- Chuyển sang bắt động sản đầu tư,- Chuyển sang bắt động sản đầu tư,,,,,,,,,,
"- Thanh lý, nhượng bán","- Chuyển sang bắt động sản đầu tư > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,,237.233.900,237.233.900,,,,237233900.0,237233900.0
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,55.921.270.608,1.659.266.200,2.323.000.000,79.905.376.312,139.808.913.120,55921270608.0,1659266200.0,2323000000.0,79905376312.0,139808913120.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại của TSCĐ hữu hình > - Tại ngày đầu năm,- Tại ngày đầu năm,119.487.730.300,34.654.044,,17.633.917.349,137.156.301.693,119487730300.0,34654044.0,,17633917349.0,137156301693.0
- Tại ngày cuối năm,Giá trị còn lại của TSCĐ hữu hình > - Tại ngày cuối năm,- Tại ngày cuối năm,112.738.289.755,,,9.627.095.138,122.365.384.893,112738289755.0,,,9627095138.0,122365384893.0
Đánh giá theo giá trị hợp lý,Đánh giá theo giá trị hợp lý,Đánh giá theo giá trị hợp lý,,,,,,,,,,
