row_label_raw,row_label_full,Mr Nguyen Diep Tung,General Director,numeric__General Director
Mr Nguyen Van Dung,Mr Nguyen Van Dung,Mr Nguyen Van Dung,Deputy General Director,
Ms Nguyen Thi Thu Huong,Ms Nguyen Thi Thu Huong,Ms Nguyen Thi Thu Huong,Deputy General Director,
