row_label_raw,row_label_full,No.,col_1,Transactions,Ending balance,Opening balance,numeric__col_1,numeric__Transactions,numeric__Ending balance,numeric__Opening balance
A,A,A,,B,1,2,,,1.0,2.0
,,,Deposits in bank at the end of the period:,Deposits in bank at the end of the period:,,,,,,
,,,- Investors’ deposits on Securities trading managed by the Company,- Investors’ deposits on Securities trading managed by the Company,2.773.603.471.001,3.447.888.429.448,,,2773603471001.0,3447888429448.0
,,,- Deposits of Issuing Organization,- Deposits of Issuing Organization,1.896.647.800,375.518.950,,,1896647800.0,375518950.0
,,,,Total,2.775.500.118.801,3.448.263.948.398,,,2775500118801.0,3448263948398.0
