row_label_raw,row_label_full,No.,Types of expense,Current period,Previous period,numeric__Types of expense,numeric__Current period,numeric__Previous period
1,1,1,Expense from brokerage service,180.559.800.828,174.877.326.740,,180559800828.0,174877326740.0
2,2,2,Expense for consultancy of securities investment,12.090.861.932,3.774.996.554,,12090861932.0,3774996554.0
3,3,3,Custody expense,18.007.016.134,16.617.027.466,,18007016134.0,16617027466.0
4,4,4,Expense for other financial consultancy,14.583.323.095,14.567.429.345,,14583323095.0,14567429345.0
5,5,5,"Expenses for provision of financial assets, dealing with losses of bad receivables and losses of financial assets and costs of loans",178.997.567.556,116.135.328.039,,178997567556.0,116135328039.0
,,,Total,404.238.569.545,325.972.108.144,,404238569545.0,325972108144.0
