row_label_raw,row_label_full,Items,Codes,Notes,This year,Previous year,numeric__Codes,numeric__Notes,numeric__This year,numeric__Previous year
A,A,A,B,C,1,2,,,1.0,2.0
II. Cash flows from investing activities,II. Cash flows from investing activities,II. Cash flows from investing activities,,,,,,,,
"1. Payment for purchases or construction of fixed assets, investment properties and other long term assets","II. Cash flows from investing activities > 1. Payment for purchases or construction of fixed assets, investment properties and other long term assets","1. Payment for purchases or construction of fixed assets, investment properties and other long term assets",61,,(6.250.516.484),(8.713.037.827),61.0,,-6250516484.0,-8713037827.0
2. Proceeds from liquidation and concession for sale of fixed assets and investment properties and other assets,II. Cash flows from investing activities > 2. Proceeds from liquidation and concession for sale of fixed assets and investment properties and other assets,2. Proceeds from liquidation and concession for sale of fixed assets and investment properties and other assets,62,,57.407.407,33.109.092,62.0,,57407407.0,33109092.0
Net cash flow from investing activities,II. Cash flows from investing activities > Net cash flow from investing activities,Net cash flow from investing activities,70,,(6.193.109.077),(8.679.928.735),70.0,,-6193109077.0,-8679928735.0
III. Cash flow from financing activities,III. Cash flow from financing activities,III. Cash flow from financing activities,,,,,,,,
"1. Proceeds from the issuance of bonds, or capital contributed by shareholders","III. Cash flow from financing activities > 1. Proceeds from the issuance of bonds, or capital contributed by shareholders","1. Proceeds from the issuance of bonds, or capital contributed by shareholders",71,,55.299.500.000,,71.0,,55299500000.0,
"2. Repayment of capital contributed by Shareholders, redemption of issued shares","III. Cash flow from financing activities > 2. Repayment of capital contributed by Shareholders, redemption of issued shares","2. Repayment of capital contributed by Shareholders, redemption of issued shares",72,,,,72.0,,,
3. Borrowing,III. Cash flow from financing activities > 3. Borrowing,3. Borrowing,73,,14.160.228.112.821,8.347.279.862.084,73.0,,14160228112821.0,8347279862084.0
3.1. Borrowing from Settlement Assistance Fund,III. Cash flow from financing activities > 3.1. Borrowing from Settlement Assistance Fund,3.1. Borrowing from Settlement Assistance Fund,73.1,,,,731.0,,,
3.2. Other borrowing,III. Cash flow from financing activities > 3.2. Other borrowing,3.2. Other borrowing,73.2,,14.160.228.112.821,8.347.279.862.084,732.0,,14160228112821.0,8347279862084.0
4. Repayments of borrowings,III. Cash flow from financing activities > 4. Repayments of borrowings,4. Repayments of borrowings,74,,(11.832.396.362.486),(6.507.178.026.391),74.0,,-11832396362486.0,-6507178026391.0
4.1. Repayment principal borrowing to the settlement assistance fund,III. Cash flow from financing activities > 4.1. Repayment principal borrowing to the settlement assistance fund,4.1. Repayment principal borrowing to the settlement assistance fund,74.1,,,,741.0,,,
4.2. Repayment of borrowings for financial assets,III. Cash flow from financing activities > 4.2. Repayment of borrowings for financial assets,4.2. Repayment of borrowings for financial assets,74.2,,,,742.0,,,
4.3. Other repayments of borrowings,III. Cash flow from financing activities > 4.3. Other repayments of borrowings,4.3. Other repayments of borrowings,74.3,,(11.832.396.362.486),(6.507.178.026.391),743.0,,-11832396362486.0,-6507178026391.0
5. Payments for financial leases debts,III. Cash flow from financing activities > 5. Payments for financial leases debts,5. Payments for financial leases debts,75,,,,75.0,,,
6. Dividends paid to shareholders,III. Cash flow from financing activities > 6. Dividends paid to shareholders,6. Dividends paid to shareholders,76,,(106.931.808.500),(97.382.272.500),76.0,,-106931808500.0,-97382272500.0
Net cash flow from financing activities,III. Cash flow from financing activities > Net cash flow from financing activities,Net cash flow from financing activities,80,,2.276.199.441.835,1.742.719.563.193,80.0,,2276199441835.0,1742719563193.0
IV. Net decrease in cash during the period,III. Cash flow from financing activities > IV. Net decrease in cash during the period,IV. Net decrease in cash during the period,90,,(687.792.805.786),990.562.430.274,90.0,,-687792805786.0,990562430274.0
V. Cash and cash equivalents at the beginning of the period,III. Cash flow from financing activities > V. Cash and cash equivalents at the beginning of the period,V. Cash and cash equivalents at the beginning of the period,101,,1.253.357.329.782,262.794.899.508,101.0,,1253357329782.0,262794899508.0
- Cash,III. Cash flow from financing activities > - Cash,- Cash,101.1,,415.357.329.782,112.794.899.508,1011.0,,415357329782.0,112794899508.0
- Cash equivalents,III. Cash flow from financing activities > - Cash equivalents,- Cash equivalents,101.2,,838.000.000.000,150.000.000.000,1012.0,,838000000000.0,150000000000.0
VI. Cash and cash equivalents at the end of the period,III. Cash flow from financing activities > VI. Cash and cash equivalents at the end of the period,VI. Cash and cash equivalents at the end of the period,103,,565.564.523.996,1.253.357.329.782,103.0,,565564523996.0,1253357329782.0
- Cash,III. Cash flow from financing activities > - Cash,- Cash,103.1,,155.685.498.972,415.357.329.782,1031.0,,155685498972.0,415357329782.0
- Cash equivalents,III. Cash flow from financing activities > - Cash equivalents,- Cash equivalents,103.2,,409.879.025.024,838.000.000.000,1032.0,,409879025024.0,838000000000.0
- The effect of exchange rate changes in foreign currency,III. Cash flow from financing activities > - The effect of exchange rate changes in foreign currency,- The effect of exchange rate changes in foreign currency,104,,,,104.0,,,
