row_label_raw,row_label_full,CHỈ TIÊU,TM,Số dư đầu năm > Năm trước,Số dư đầu năm > Năm nay,Số tăng/ giảm trong năm > Năm trước > Tăng,Số tăng/ giảm trong năm > Năm trước > Giảm,Số tăng/ giảm trong năm > Năm nay > Tăng,Số tăng/ giảm trong năm > Năm nay > Giảm,Số dư cuối năm > Năm trước,Số dư cuối năm > Năm nay,numeric__TM,numeric__Số dư đầu năm > Năm trước,numeric__Số dư đầu năm > Năm nay,numeric__Số tăng/ giảm trong năm > Năm trước > Tăng,numeric__Số tăng/ giảm trong năm > Năm trước > Giảm,numeric__Số tăng/ giảm trong năm > Năm nay > Tăng,numeric__Số tăng/ giảm trong năm > Năm nay > Giảm,numeric__Số dư cuối năm > Năm trước,numeric__Số dư cuối năm > Năm nay
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. Biến động vốn chủ sở hữu,I. Biến động vốn chủ sở hữu,I. Biến động vốn chủ sở hữu,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. Biến động vốn chủ sở hữu > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,1.950.682.258.150,2.145.732.618.150,195.050.360.000,,913.543.790.000,,2.145.732.618.150,3.059.276.408.150,,1950682258150.0,2145732618150.0,195050360000.0,,913543790000.0,,2145732618150.0,3059276408150.0
1.1. Cổ phiếu phổ thông có quyền biểu quyết (*),I. Biến động vốn chủ sở hữu > 1.1. Cổ phiếu phổ thông có quyền biểu quyết (*),1.1. Cổ phiếu phổ thông có quyền biểu quyết (*),,1.950.599.510.000,2.145.649.870.000,195.050.360.000,,913.543.790.000,,2.145.649.870.000,3.059.193.660.000,,1950599510000.0,2145649870000.0,195050360000.0,,913543790000.0,,2145649870000.0,3059193660000.0
1.2. Cổ phiếu ưu đãi,1.2. Cổ phiếu ưu đãi,1.2. Cổ phiếu ưu đãi,,,,,,,,,,,,,,,,,,
1.3. Thắng dư vốn cổ phần,1.2. Cổ phiếu ưu đãi > 1.3. Thắng dư vốn cổ phần,1.3. Thắng dư vốn cổ phần,,82.748.150,82.748.150,,,,,82.748.150,82.748.150,,82748150.0,82748150.0,,,,,82748150.0,82748150.0
1.4.Quyền chọn chuyển đổi trái phiếu - cấu phần vốn,1.4.Quyền chọn chuyển đổi trái phiếu - cấu phần vốn,1.4.Quyền chọn chuyển đổi trái phiếu - cấu phần vốn,,,,,,,,,,,,,,,,,,
1.5.Vốn khác của chủ sở hữu,1.5.Vốn khác của chủ sở hữu,1.5.Vốn khác của chủ sở hữu,,,,,,,,,,,,,,,,,,
1.6.Cổ phiếu quỹ,1.6.Cổ phiếu quỹ,1.6.Cổ phiếu quỹ,,,,,,,,,,,,,,,,,,
2. Quỹ dự trữ vốn điều lệ,2. Quỹ dự trữ vốn điều lệ,2. Quỹ dự trữ vốn điều lệ,,,,,,,,,,,,,,,,,,
3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,,,,,,,,,,,,,,,,,
4.Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,4.Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,4.Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,,,,,,,,,,,,,,,,,,
5.Chênh lệch tỷ giá hối đoái,5.Chênh lệch tỷ giá hối đoái,5.Chênh lệch tỷ giá hối đoái,,,,,,,,,,,,,,,,,,
6.Các Quỹ khác thuộc vốn chủ sở hữu,6.Các Quỹ khác thuộc vốn chủ sở hữu,6.Các Quỹ khác thuộc vốn chủ sở hữu,,,,,,,,,,,,,,,,,,
