row_label_raw,row_label_full,Items,Codes,Notes,Ending balance,Opening balance,numeric__Codes,numeric__Notes,numeric__Ending balance,numeric__Opening balance
A,A,A,B,C,1,2,,,1.0,2.0
5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors,024.b,,,,,,,
6. Financial assets are entitled of Investors,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors > 6. Financial assets are entitled of Investors,6. Financial assets are entitled of Investors,025,A.7.19,56.090.720.000,140.201.130.000,25.0,,56090720000.0,140201130000.0
7. Deposits of investors,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors > 7. Deposits of investors,7. Deposits of investors,026,,2.775.500.118.801,3.448.263.948.398,26.0,,2775500118801.0,3448263948398.0
7.1. Deposits of investors on securities trading managed by the Securities Company,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors > 7.1. Deposits of investors on securities trading managed by the Securities Company,7.1. Deposits of investors on securities trading managed by the Securities Company,027,A.7.20,2.773.603.471.001,3.447.888.429.448,27.0,,2773603471001.0,3447888429448.0
7.2. Deposits from securities trading for customers,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors > 7.2. Deposits from securities trading for customers,7.2. Deposits from securities trading for customers,028,,,,28.0,,,
7.3. Compensatory deposits and settlement of securities trading,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors > 7.3. Compensatory deposits and settlement of securities trading,7.3. Compensatory deposits and settlement of securities trading,029,,,,29.0,,,
a. Compensatory deposits and settlement of securities trading of local Investors,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors > a. Compensatory deposits and settlement of securities trading of local Investors,a. Compensatory deposits and settlement of securities trading of local Investors,029.1,,,,291.0,,,
b. Compensatory deposits and settlement of securities trading of foreign Investors,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors > b. Compensatory deposits and settlement of securities trading of foreign Investors,b. Compensatory deposits and settlement of securities trading of foreign Investors,029.2,,,[ccccc],292.0,,,
7.4. Deposit of the issuer of securities,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors > 7.4. Deposit of the issuer of securities,7.4. Deposit of the issuer of securities,030,A.7.21,1.896.647.800,375 150,30.0,,1896647800.0,
8. Payable to Investors on deposits of securities trading under the method managed by securities company,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors > 8. Payable to Investors on deposits of securities trading under the method managed by securities company,8. Payable to Investors on deposits of securities trading under the method managed by securities company,031,A.7.28,2.773.603.471.001,3.447.888.429.448,31.0,,2773603471001.0,3447888429448.0
8.1. Payable to local Investors on deposits of securities trading under the method managed by securities company,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors > 8.1. Payable to local Investors on deposits of securities trading under the method managed by securities company,8.1. Payable to local Investors on deposits of securities trading under the method managed by securities company,031.1,,2.727.014.848.853,3.400.773.902.339,311.0,,2727014848853.0,3400773902339.0
8.2. Payable to foreign Investors on deposits of securities trading under the method managed by securities company,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors > 8.2. Payable to foreign Investors on deposits of securities trading under the method managed by securities company,8.2. Payable to foreign Investors on deposits of securities trading under the method managed by securities company,031.2,,46.588.622.148,47.114.527.109,312.0,,46588622148.0,47114527109.0
9. Payable to the issuer of securities,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors > 9. Payable to the issuer of securities,9. Payable to the issuer of securities,032,,,,32.0,,,
10. Receivables of Customers on financial asset trading errors,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors > 10. Receivables of Customers on financial asset trading errors,10. Receivables of Customers on financial asset trading errors,033,,,,33.0,,,
11. Payables of customers on financial assets trading errors,5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors > 11. Payables of customers on financial assets trading errors,11. Payables of customers on financial assets trading errors,034,,,,34.0,,,
"12. Payable dividends, bond principal and interest","5. Financial assets have not been deposited yet at Vietnam Securities Depository by Investors > 12. Payable dividends, bond principal and interest","12. Payable dividends, bond principal and interest",035,,1.896.647.800,375.518.950,35.0,,1896647800.0,375518950.0
