row_label_raw,row_label_full,No.,Corporate income tax in details,Current period,Previous period,numeric__Corporate income tax in details,numeric__Current period,numeric__Previous period
1,1,1,Current CIT expenses,,,,,
1.1,1 > 1.1,1.1,- CIT expenses determined according to taxable income of the current year,95.854.572.808,97.027.049.804,,95854572808.0,97027049804.0
1.2,1 > 1.2,1.2,- CIT expenses of previous years transferred to corporate income tax expenses of the current year,1.200.000,,,1200000.0,
1.3,1 > 1.3,1.3,- Total current CIT expense,95.855.772.808,97.027.049.804,,95855772808.0,97027049804.0
2,2,2,Deferred CIT expenses,,,,,
