row_label_raw,row_label_full,STT,Loại chi phí quản lý CTCK,Loại chi phí quản lý CTCK_1,Năm nay,Năm trước,numeric__Loại chi phí quản lý CTCK,numeric__Loại chi phí quản lý CTCK_1,numeric__Năm nay,numeric__Năm trước
1,1,1,Chi phí lương và khác khoản khác theo lương,Chi phí lương và khác khoản khác theo lương,46.669.376.696,42.731.445.175,,,46669376696.0,42731445175.0
2,2,2,"BHXH, BHYT, KPCĐ, BHTN","BHXH, BHYT, KPCĐ, BHTN",3.230.317.000,3.025.564.500,,,3230317000.0,3025564500.0
3,3,3,Chi phí đào tạo tuyển dụng,Chi phí đào tạo tuyển dụng,288.663.640,259.419.432,,,288663640.0,259419432.0
4,4,4,Chi phí vật tư văn phòng,Chi phí vật tư văn phòng,2.910.192.385,3.073.517.517,,,2910192385.0,3073517517.0
5,5,5,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,14.791.959.358,14.696.932.391,,,14791959358.0,14696932391.0
6,6,6,"Chi phí thuế, phí và lệ phí","Chi phí thuế, phí và lệ phí",20.936.084,21.255.484,,,20936084.0,21255484.0
7,7,7,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,20.262.129.160,18.162.538.885,,,20262129160.0,18162538885.0
8,8,8,Chi phí khác,Chi phí khác,1.664.244.367,1.606.468.743,,,1664244367.0,1606468743.0
,,,,Cộng,89.837.818.690,83.577.142.127,,,89837818690.0,83577142127.0
