row_label_raw,row_label_full,A.7.28. Payables to InvestorsType of payables,Ending balance,Opening balance,numeric__Ending balance,numeric__Opening balance
1. Payables to Investors - Investors’ deposits for securities tradingmanaged by the Company,1. Payables to Investors - Investors’ deposits for securities tradingmanaged by the Company,1. Payables to Investors - Investors’ deposits for securities tradingmanaged by the Company,2.773.603.471.001,3.447.888.429.448,2773603471001.0,3447888429448.0
1.1. Local investors,1.1. Local investors,1.1. Local investors,2.727.014.848.853,3.400.773.902.339,2727014848853.0,3400773902339.0
1.2. Foreign investors,1.2. Foreign investors,1.2. Foreign investors,46.588.622.148,47.114.527.109,46588622148.0,47114527109.0
Total,Total,Total,2.773.603.471.001,3.447.888.429.448,2773603471001.0,3447888429448.0
A.7.29. Payables of Investors on services to the Company,A.7.29. Payables of Investors on services to the Company,A.7.29. Payables of Investors on services to the Company,Ending balance,Opening balance,,
1. Brokerage fee,A.7.29. Payables of Investors on services to the Company > 1. Brokerage fee,1. Brokerage fee,424.805.721,1.260.663.500,424805721.0,1260663500.0
2. Securities custody fee,A.7.29. Payables of Investors on services to the Company > 2. Securities custody fee,2. Securities custody fee,10.185.672,,10185672.0,
3. Payable to investment consultancy fees,A.7.29. Payables of Investors on services to the Company > 3. Payable to investment consultancy fees,3. Payable to investment consultancy fees,,50.000.000,,50000000.0
Total,A.7.29. Payables of Investors on services to the Company > Total,Total,434.991.393,1.310.663.500,434991393.0,1310663500.0
A.7.30. Investors' borrowings,A.7.30. Investors' borrowings,A.7.30. Investors' borrowings,Ending balance,Opening balance,,
1. Investors' borrowings for margin transactions,1. Investors' borrowings for margin transactions,1. Investors' borrowings for margin transactions,,,,
2. Principal of margin transactions,1. Investors' borrowings for margin transactions > 2. Principal of margin transactions,2. Principal of margin transactions,6.650.578.286.459,4.480.989.985.789,6650578286459.0,4480989985789.0
2.1. Local investors,1. Investors' borrowings for margin transactions > 2.1. Local investors,2.1. Local investors,6.650.578.286.459,4.480.989.985.789,6650578286459.0,4480989985789.0
2.2. Foreign investors,2.2. Foreign investors,2.2. Foreign investors,,,,
3. Interest of margin transactions,2.2. Foreign investors > 3. Interest of margin transactions,3. Interest of margin transactions,14.843.382.524,9.170.457.945,14843382524.0,9170457945.0
3.1. Local investors,2.2. Foreign investors > 3.1. Local investors,3.1. Local investors,14.843.382.524,9.170.457.945,14843382524.0,9170457945.0
3.2. Foreign investors,3.2. Foreign investors,3.2. Foreign investors,,,,
4. Payable for advance payment of securities amount,3.2. Foreign investors > 4. Payable for advance payment of securities amount,4. Payable for advance payment of securities amount,417.640.809.455,913.100.855.095,417640809455.0,913100855095.0
4.1. Principal of advance transactions,3.2. Foreign investors > 4.1. Principal of advance transactions,4.1. Principal of advance transactions,417.567.973.486,912.872.796.723,417567973486.0,912872796723.0
a. Local investors,3.2. Foreign investors > a. Local investors,a. Local investors,417.567.973.486,912.872.796.723,417567973486.0,912872796723.0
b. Foreign investors,b. Foreign investors,b. Foreign investors,,,,
4.2. Interest of advance transactions,b. Foreign investors > 4.2. Interest of advance transactions,4.2. Interest of advance transactions,72.835.969,228.058.372,72835969.0,228058372.0
a. Local investors,b. Foreign investors > a. Local investors,a. Local investors,72.835.969,228.058.372,72835969.0,228058372.0
b. Foreign investors,b. Foreign investors,b. Foreign investors,,,,
5. Payable for derivative securities trading activities,5. Payable for derivative securities trading activities,5. Payable for derivative securities trading activities,,,,
Total,5. Payable for derivative securities trading activities > Total,Total,7.083.062.478.438,5.403.261.298.829,7083062478438.0,5403261298829.0
A.7.31. Income distribution to shareholders or capital contributing,A.7.31. Income distribution to shareholders or capital contributing,A.7.31. Income distribution to shareholders or capital contributing,Ending balance,Opening balance,,
1. Realized profits accumulated has not distributed yet,A.7.31. Income distribution to shareholders or capital contributing > 1. Realized profits accumulated has not distributed yet,1. Realized profits accumulated has not distributed yet,573.193.957.927,1.163.209.696.838,573193957927.0,1163209696838.0
2. Unrealized profit,A.7.31. Income distribution to shareholders or capital contributing > 2. Unrealized profit,2. Unrealized profit,485.498.733.814,334.993.443.867,485498733814.0,334993443867.0
Total,A.7.31. Income distribution to shareholders or capital contributing > Total,Total,1.058.692.691.741,1.498.203.140.705,1058692691741.0,1498203140705.0
