row_label_raw,row_label_full,Items,Codes,Notes,This year,Previous year,numeric__Codes,numeric__Notes,numeric__This year,numeric__Previous year
II. OPERATING EXPENSE,II. OPERATING EXPENSE,II. OPERATING EXPENSE,II. OPERATING EXPENSE,II. OPERATING EXPENSE,II. OPERATING EXPENSE,II. OPERATING EXPENSE,,,,
2.1. Loss from financial assets at Fair Value through Profit and Loss (FVTPL),II. OPERATING EXPENSE > 2.1. Loss from financial assets at Fair Value through Profit and Loss (FVTPL),2.1. Loss from financial assets at Fair Value through Profit and Loss (FVTPL),21,,910.110.023,2.884.211.665,21.0,,910110023.0,2884211665.0
a. Loss from selling financial assets at FVTPL,II. OPERATING EXPENSE > a. Loss from selling financial assets at FVTPL,a. Loss from selling financial assets at FVTPL,21.1,B7.32.1,912.095.500,2.882.849.538,211.0,,912095500.0,2882849538.0
b. Loss from re-evaluation of financial assets at FVTPL (*),II. OPERATING EXPENSE > b. Loss from re-evaluation of financial assets at FVTPL (*),b. Loss from re-evaluation of financial assets at FVTPL (*),21.2,B7.32.2,(1.985.477),1.362.127,212.0,,-1985477.0,1362127.0
"2.4. Contingency cost of financial assets, handling losses of bad receivables, impairment of financial assets and costs of loans","II. OPERATING EXPENSE > 2.4. Contingency cost of financial assets, handling losses of bad receivables, impairment of financial assets and costs of loans","2.4. Contingency cost of financial assets, handling losses of bad receivables, impairment of financial assets and costs of loans",24,B7.34,178.997.567.556,116.135.328.039,24.0,,178997567556.0,116135328039.0
2.6. Expenses for business operating,II. OPERATING EXPENSE > 2.6. Expenses for business operating,2.6. Expenses for business operating,26,,416.058.645,107.540.724,26.0,,416058645.0,107540724.0
2.7. Expenses for brokerage services,II. OPERATING EXPENSE > 2.7. Expenses for brokerage services,2.7. Expenses for brokerage services,27,B7.34,180.559.800.828,174.877.326.740,27.0,,180559800828.0,174877326740.0
2.9. Expenses for securities investment consultancy,II. OPERATING EXPENSE > 2.9. Expenses for securities investment consultancy,2.9. Expenses for securities investment consultancy,29,B7.34,12.090.861.932,3.774.996.554,29.0,,12090861932.0,3774996554.0
2.10. Expenses for custody securities,II. OPERATING EXPENSE > 2.10. Expenses for custody securities,2.10. Expenses for custody securities,30,B7.34,18.007.016.134,16.617.027.466,30.0,,18007016134.0,16617027466.0
2.11. Expenses for financial advisory services,II. OPERATING EXPENSE > 2.11. Expenses for financial advisory services,2.11. Expenses for financial advisory services,31,B7.34,14.583.323.095,14.567.429.345,31.0,,14583323095.0,14567429345.0
2.12. Other operating expenses.,II. OPERATING EXPENSE > 2.12. Other operating expenses.,2.12. Other operating expenses.,32,,,,32.0,,,
Total of operating costs (40 = 21->32),II. OPERATING EXPENSE > Total of operating costs (40 = 21->32),Total of operating costs (40 = 21->32),40,,405.564.738.213,328.963.860.533,40.0,,405564738213.0,328963860533.0
