row_label_raw,row_label_full,Items,Codes,Notes,This year,Previous year,numeric__Codes,numeric__Notes,numeric__This year,numeric__Previous year
A,A,A,B,C,1,2,,,1.0,2.0
"I. Cash flow from brokerage activities, customers' authorization","I. Cash flow from brokerage activities, customers' authorization","I. Cash flow from brokerage activities, customers' authorization",,,,,,,,
1. Proceeds from the sale of brokerage securities to customers,"I. Cash flow from brokerage activities, customers' authorization > 1. Proceeds from the sale of brokerage securities to customers",1. Proceeds from the sale of brokerage securities to customers,1,,146.823.476.127.761,123.060.030.047.960,1.0,,146823476127761.0,123060030047960.0
2. Payment for the purchase of brokerage securities to customers,"I. Cash flow from brokerage activities, customers' authorization > 2. Payment for the purchase of brokerage securities to customers",2. Payment for the purchase of brokerage securities to customers,2,,(147.264.955.221.619),(117.099.281.049.740),2.0,,-147264955221619.0,-117099281049740.0
7. Receipt of deposits for payment of customers' securities transactions,"I. Cash flow from brokerage activities, customers' authorization > 7. Receipt of deposits for payment of customers' securities transactions",7. Receipt of deposits for payment of customers' securities transactions,7,,(218.022.068.369),(5.027.995.630.398),7.0,,-218022068369.0,-5027995630398.0
11. Payment of customers' securities custody cost,"I. Cash flow from brokerage activities, customers' authorization > 11. Payment of customers' securities custody cost",11. Payment of customers' securities custody cost,11,,(14.783.796.220),(13.488.906.058),11.0,,-14783796220.0,-13488906058.0
12. Proceeds from stock trading errors,"I. Cash flow from brokerage activities, customers' authorization > 12. Proceeds from stock trading errors",12. Proceeds from stock trading errors,12,,,,12.0,,,
13. Payment for stock trading errors,"I. Cash flow from brokerage activities, customers' authorization > 13. Payment for stock trading errors",13. Payment for stock trading errors,13,,,,13.0,,,
14. Proceeds from securities issuers,"I. Cash flow from brokerage activities, customers' authorization > 14. Proceeds from securities issuers",14. Proceeds from securities issuers,14,,1.671.520.938.337,1.735.081.188.003,14.0,,1671520938337.0,1735081188003.0
15. Payment for securities issuers,"I. Cash flow from brokerage activities, customers' authorization > 15. Payment for securities issuers",15. Payment for securities issuers,15,,(1.669.999.809.487),(1.734.882.219.028),15.0,,-1669999809487.0,-1734882219028.0
Increase/decrease net cash in the period,"I. Cash flow from brokerage activities, customers' authorization > Increase/decrease net cash in the period",Increase/decrease net cash in the period,20,,(672.763.829.597),919.463.430.739,20.0,,-672763829597.0,919463430739.0
II. Cash and cash equivalents at the beginning of the period of customers,"I. Cash flow from brokerage activities, customers' authorization > II. Cash and cash equivalents at the beginning of the period of customers",II. Cash and cash equivalents at the beginning of the period of customers,30,,3.448.263.948.398,2.528.800.517.659,30.0,,3448263948398.0,2528800517659.0
Deposits in bank at the beginning of the period,"I. Cash flow from brokerage activities, customers' authorization > Deposits in bank at the beginning of the period",Deposits in bank at the beginning of the period,31,,,,31.0,,,
- Investors' deposits managed by the Company for securities trading activities,"I. Cash flow from brokerage activities, customers' authorization > - Investors' deposits managed by the Company for securities trading activities",- Investors' deposits managed by the Company for securities trading activities,32,,3.447.888.429.448,2.528.623.967.684,32.0,,3447888429448.0,2528623967684.0
In which: deposit account,In which: deposit account,In which: deposit account,,,,,,,,
- Deposits of securities issuers,In which: deposit account > - Deposits of securities issuers,- Deposits of securities issuers,35,,375.518.950,176.549.975,35.0,,375518950.0,176549975.0
In which: deposit account,In which: deposit account,In which: deposit account,,,,,,,,
Cash equivalents,In which: deposit account > Cash equivalents,Cash equivalents,36,,,,36.0,,,
The effect of exchange rate changes in foreign currency,In which: deposit account > The effect of exchange rate changes in foreign currency,The effect of exchange rate changes in foreign currency,37,,,,37.0,,,
III. Cash and cash equivalents at the end of the period of customers (40 = 20 + 30),In which: deposit account > III. Cash and cash equivalents at the end of the period of customers (40 = 20 + 30),III. Cash and cash equivalents at the end of the period of customers (40 = 20 + 30),40,,2.775.500.118.801,3.448.263.948.398,40.0,,2775500118801.0,3448263948398.0
Deposits in bank at the end of the period:,In which: deposit account > Deposits in bank at the end of the period:,Deposits in bank at the end of the period:,41,,,,41.0,,,
- Investors' deposits managed by the Company for securities trading activities,In which: deposit account > - Investors' deposits managed by the Company for securities trading activities,- Investors' deposits managed by the Company for securities trading activities,42,C7.40,2.773.603.471.001,3.447.888.429.448,42.0,,2773603471001.0,3447888429448.0
In which: deposit account,In which: deposit account,In which: deposit account,,,,,,,,
- Deposits of securities issuers,In which: deposit account > - Deposits of securities issuers,- Deposits of securities issuers,45,C7.40,1.896.647.800,375.518.950,45.0,,1896647800.0,375518950.0
In which: deposit account,In which: deposit account,In which: deposit account,,,,,,,,
Cash equivalents,In which: deposit account > Cash equivalents,Cash equivalents,46,,,,46.0,,,
The effect of exchange rate changes in foreign currency,In which: deposit account > The effect of exchange rate changes in foreign currency,The effect of exchange rate changes in foreign currency,47,,,,47.0,,,
