row_label_raw,row_label_full,Other types of operating income,This period,Previous period,numeric__This period,numeric__Previous period
1. From FVTPL financial asset,1. From FVTPL financial asset,1. From FVTPL financial asset,92.466.782.718,121.097.492.294,92466782718.0,121097492294.0
1.1. Dividend and interest on bonds,1.1. Dividend and interest on bonds,1.1. Dividend and interest on bonds,41.591.673.934,32.127.783.778,41591673934.0,32127783778.0
1.2. Interest on term deposits,1.2. Interest on term deposits,1.2. Interest on term deposits,50.875.108.784,88.969.708.516,50875108784.0,88969708516.0
2. From HTM financial assets,2. From HTM financial assets,2. From HTM financial assets,,,,
3. From loans,2. From HTM financial assets > 3. From loans,3. From loans,589.269.375.765,443.223.851.448,589269375765.0,443223851448.0
4. From AFS,4. From AFS,4. From AFS,,,,
Total,4. From AFS > Total,Total,681.736.158.483,564.321.343.742,681736158483.0,564321343742.0
