row_label_raw,row_label_full,STT,Chi tiết thu nhập khác,Năm nay,Năm trước,numeric__Chi tiết thu nhập khác,numeric__Năm nay,numeric__Năm trước
1,1,1,Thu nhập từ thanh lý TSCĐ,57.407.407,33.109.092,,57407407.0,33109092.0
2,2,2,Doanh thu bán Token card,94.436.460,408.739.100,,94436460.0,408739100.0
3,3,3,Thu nhập từ phí c.tiền của NDT,1.368.314.737,1.577.817.677,,1368314737.0,1577817677.0
4,4,4,Thu nhập khác,56.581.588.988,46.656.357.751,,56581588988.0,46656357751.0
,,,Công,58.101.747.592,48.676.023.620,,58101747592.0,48676023620.0
