row_label_raw,row_label_full,STT,Chi tiết chi phí khác,Chi tiết chi phí khác_1,Năm nay,Năm trước,numeric__Chi tiết chi phí khác,numeric__Chi tiết chi phí khác_1,numeric__Năm nay,numeric__Năm trước
1,1,1,Phạt do vi phạm hành chính,Phạt do vi phạm hành chính,177.505.400,7.200,,,177505400.0,7200.0
2,2,2,Chi phí Token card,Chi phí Token card,113.017.200,455.814.260,,,113017200.0,455814260.0
3,3,3,Phí chuyển tiền của NDT,Phí chuyển tiền của NDT,1.367.170.262,1.138.556.021,,,1367170262.0,1138556021.0
4,4,4,Chi phí khác,Chi phí khác,54.444.453.420,45.869.981.490,,,54444453420.0,45869981490.0
,,,,Cộng,56.102.146.282,47.464.358.971,,,56102146282.0,47464358971.0
