row_label_raw,row_label_full,Items,Land use rights (*),"Copyright, patents",Software program,Other intangible fixed assets,Total,numeric__Land use rights (*),"numeric__Copyright, patents",numeric__Software program,numeric__Other intangible fixed assets,numeric__Total
Cost of intangible fixed assets,Cost of intangible fixed assets,Cost of intangible fixed assets,,,,,,,,,,
Opening balance,Cost of intangible fixed assets > Opening balance,Opening balance,19.257.558.796,7.217.666.013,16.035.848.529,367.576.900,42.878.650.238,19257558796.0,7217666013.0,16035848529.0,367576900.0,42878650238.0
- Purchase in the period,Cost of intangible fixed assets > - Purchase in the period,- Purchase in the period,,,2.034.295.200,,2.034.295.200,,,2034295200.0,,2034295200.0
- Completed investment in capital construction,- Completed investment in capital construction,- Completed investment in capital construction,,,,,,,,,,
- Creation from internal Company,- Creation from internal Company,- Creation from internal Company,,,,,,,,,,
- Increase due to business consolidation,- Increase due to business consolidation,- Increase due to business consolidation,,,,,,,,,,
- Other increases,- Other increases,- Other increases,,,,,,,,,,
"- Liquidation, sale","- Liquidation, sale","- Liquidation, sale",,,,,,,,,,
- Other decreases,- Other decreases,- Other decreases,,,,,,,,,,
Ending balance,- Other decreases > Ending balance,Ending balance,19.257.558.796,7.217.666.013,18.070.143.729,367.576.900,44.912.945.438,19257558796.0,7217666013.0,18070143729.0,367576900.0,44912945438.0
Accumulated depreciation value,Accumulated depreciation value,Accumulated depreciation value,,,,,,,,,,
Opening balance,Accumulated depreciation value > Opening balance,Opening balance,921.843.483,7.217.666.013,16.035.848.529,367.576.900,24.542.934.925,921843483.0,7217666013.0,16035848529.0,367576900.0,24542934925.0
- Depreciation in the period,Accumulated depreciation value > - Depreciation in the period,- Depreciation in the period,131.991.240,,6.684.431,,138.675.671,131991240.0,,6684431.0,,138675671.0
- Other increases,- Other increases,- Other increases,,,,,,,,,,
"- Liquidation, sale","- Liquidation, sale","- Liquidation, sale",,,,,,,,,,
- Other decreases,- Other decreases,- Other decreases,,,,,,,,,,
Ending balance,- Other decreases > Ending balance,Ending balance,1.053.834.723,7.217.666.013,16.042.532.960,367.576.900,24.681.610.596,1053834723.0,7217666013.0,16042532960.0,367576900.0,24681610596.0
Remaining value of tangible fixed assets,Remaining value of tangible fixed assets,Remaining value of tangible fixed assets,,,,,,,,,,
- At the begin of the period,Remaining value of tangible fixed assets > - At the begin of the period,- At the begin of the period,18.335.715.313,,,,18.335.715.313,18335715313.0,,,,18335715313.0
- At the end of the period,Remaining value of tangible fixed assets > - At the end of the period,- At the end of the period,18.203.724.073,,2.027.610.769,,20.231.334.842,18203724073.0,,2027610769.0,,20231334842.0
Evaluation under fair,Evaluation under fair,Evaluation under fair,,,,,,,,,,
