row_label_raw,row_label_full,No.,Types of revenue from other activities,Current period,Previous period,numeric__Types of revenue from other activities,numeric__Current period,numeric__Previous period
1,1,1,Revenue from auction agent,,20.613.150,,,20613150.0
2,2,2,"Revenue from paying principal, bond interest and dividend to Investors on behalf of issuers",91.500.000,65.000.000,,91500000.0,65000000.0
3,3,3,Collateral assets management cost,40.800.000,71.200.000,,40800000.0,71200000.0
4,4,4,Other revenue,143.080.000,231.020.000,,143080000.0,231020000.0
Total,Total,Total,Total,275.380.000,387.833.150,,275380000.0,387833150.0
